Region,Region code,Province,Province code,"Annual Per Capita Poverty Threshold 
(in PhP)  2015u ","Annual Per Capita Poverty Threshold 
(in PhP)  2018u ",Poverty Incidence among Families Estimates (%) 2015u,Poverty Incidence among Families Estimates (%) 2018u ,Poverty Incidence among Families Coefficient of Variation 2015u ,Poverty Incidence among Families Coefficient of Variation 2018u ,Poverty Incidence among Families Standard Error 2015u ,Poverty Incidence among Families Standard Error 2018u ,Poverty Incidence among Families 90% Confidence Interval 2015u Lower Limit,Poverty Incidence among Families 90% Confidence Interval 2015u Upper Limit,Poverty Incidence among Families 90% Confidence Interval 2018u Lower Limit,Poverty Incidence among Families 90% Confidence Interval 2018u Upper Limit,Magnitude of Poor Families Estimate ('000) 2015u ,Magnitude of Poor Families Estimate ('000) 2018u ,Magnitude of Poor Families Coefficient of Variation 2015u ,Magnitude of Poor Families Coefficient of Variation 2018u ,Magnitude of Poor Families Standard Error 2015u ,Magnitude of Poor Families Standard Error 2018u ,Magnitude of Poor Families 90% Confidence Interval 2015u Lower Limit,Magnitude of Poor Families 90% Confidence Interval 2015u Upper Limit,Magnitude of Poor Families 90% Confidence Interval 2018u Lower Limit,Magnitude of Poor Families 90% Confidence Interval 2018u Upper Limit,,,,,
REGION VII (CENTRAL VISAYAS)*,PH070000000,Negros Oriental*,PH074600000," 22,077 "," 25,113 ",36.3, 19.4 ,10.9, 9.6 ,3.9, 1.9 ,29.8,42.8, 16.3 , 22.5 , 131.7 , 63.1 , 19.5 , 10.6 ,25.7, 6.7 , 89.4 , 174.0 , 52.1 , 74.2 ,,,,,
REGION VII (CENTRAL VISAYAS)*,PH070000000,"Siquijor* a/, b/ ",PH076100000," 21,563 "," 25,649 ",47.0, 7.2 ,9.9, 20.2 ,4.6, 1.5 ,39.4,54.6, 4.8 , 9.6 , 16.5 , 1.7 , 51.9 , 20.7 ,8.5, 0.4 , 2.4 , 30.5 , 1.1 , 2.3 ,,,,,
REGION VIII (EASTERN VISAYAS)*,PH080000000,Biliran c/,PH087800000," 21,372 "," 24,216 ",17.4, 13.7 ,22.1, 9.6 ,3.9, 1.3 ,11.1,23.8, 11.5 , 15.9 , 8.3 , 5.6 , 40.5 , 9.9 ,3.3, 0.6 , 2.8 , 13.8 , 4.7 , 6.5 ,,,,,
REGION VIII (EASTERN VISAYAS)*,PH080000000,Eastern Samar,PH082600000," 25,358 "," 29,070 ",42.4,40.9,17.2,5.2,7.3, 2.1 ,30.4,54.3, 37.4 , 44.4 , 43.3 , 48.0 , 31.3 , 6.6 ,13.6, 3.1 , 21.0 , 65.7 , 42.8 , 53.1 ,,,,,
REGION VIII (EASTERN VISAYAS)*,PH080000000,Leyte,PH083700000," 21,412 "," 23,574 ",25.1,21.7,9.4,6.9,2.4, 1.5 ,21.2,29.0, 19.2 , 24.1 , 119.8 , 107.0 , 15.4 , 8.0 ,18.5, 8.6 , 89.4 , 150.2 , 92.9 , 121.2 ,,,,,
REGION VIII (EASTERN VISAYAS)*,PH080000000,Northern Samar*,PH084800000," 22,775 "," 25,971 ",51.8,27.6,11.2,7.3,5.8, 2.0 ,42.3,61.4, 24.3 , 30.9 , 62.3 , 37.1 , 27.5 , 7.9 ,17.1, 2.9 , 34.2 , 90.5 , 32.3 , 41.9 ,,,,,
REGION VIII (EASTERN VISAYAS)*,PH080000000,Southern Leyte*,PH086400000," 23,968 "," 25,756 ",32.7, 17.3 ,13.6, 8.5 ,4.4, 1.5 ,25.4,40.0, 14.9 , 19.8 , 29.6 , 16.4 , 32.0 , 8.7 ,9.5, 1.4 , 14.0 , 45.2 , 14.0 , 18.7 ,,,,,
REGION VIII (EASTERN VISAYAS)*,PH080000000,Western Samar*,PH086000000," 21,298 "," 23,131 ",41.8, 22.2 ,13.9, 8.8 ,5.8, 2.0 ,32.3,51.4, 19.0 , 25.4 , 62.4 , 39.2 , 26.0 , 9.7 ,16.2, 3.8 , 35.7 , 89.1 , 33.0 , 45.4 ,,,,,
REGION IX (ZAMBOANGA PENINSULA)*,PH090000000,Zamboanga del Norte*,PH097200000," 24,377 "," 28,523 ",50.9, 36.9 ,8.0, 7.3 ,4.1, 2.7 ,44.2,57.7, 32.5 , 41.4 , 119.2 , 87.2 , 17.8 , 7.5 ,21.2, 6.6 , 84.4 , 154.1 , 76.4 , 98.0 ,,,,,
REGION IX (ZAMBOANGA PENINSULA)*,PH090000000,Zamboanga del Sur,PH097300000," 20,444 "," 23,977 ",18.9, 17.4 ,12.3, 7.5 ,2.3, 1.3 ,15.1,22.7, 15.3 , 19.6 , 78.3 , 74.2 , 18.1 , 8.2 ,14.1, 6.1 , 55.0 , 101.5 , 64.2 , 84.2 ,,,,,
REGION IX (ZAMBOANGA PENINSULA)*,PH090000000,Zamboanga Sibugay,PH098300000," 21,331 "," 23,054 ",27.6, 27.1 ,11.1, 7.9 ,3.1, 2.1 ,22.6,32.6, 23.6 , 30.6 , 32.4 , 41.4 , 25.7 , 8.4 ,8.3, 3.5 , 18.7 , 46.1 , 35.7 , 47.1 ,,,,,
REGION IX (ZAMBOANGA PENINSULA)*,PH090000000,"Isabela City* a/, c/",PH099700000," 22,544 "," 25,870 ",22.2, 41.6 ,45.2, 8.5 ,10.1, 3.5 ,5.7,38.8, 35.8 , 47.4 , 7.4 , 10.2 , 70.2 , 12.5 ,5.2, 1.3 ,0.0, 16.0 , 8.1 , 12.4 ,,,,,
REGION X (NORTHERN MINDANAO)*,PH100000000,Bukidnon*,PH101300000," 23,993 "," 25,624 ",47.6, 22.3 ,6.7, 7.3 ,3.2, 1.6 ,42.4,52.8, 19.6 , 25.0 , 139.6 , 73.4 , 17.9 , 7.7 ,25.0, 5.7 , 98.4 , 180.8 , 64.1 , 82.8 ,,,,,
REGION X (NORTHERN MINDANAO)*,PH100000000,"Camiguina/, c/",PH101800000," 23,908 "," 26,042 ",33.9, 17.9 ,29.5, 9.9 ,10.0, 1.8 ,17.4,50.3, 15.0 , 20.9 , 8.1 , 3.8 , 54.0 , 9.5 ,4.4, 0.4 , 0.9 , 15.2 , 3.2 , 4.4 ,,,,,
