Region,Region code,Province  ,Province code,Municipality/City  ,Municipality/City Code,Poverty Incidence_2009,Poverty Incidence_2012,Poverty Incidence_2015,Coefficient of Variation_2009,Coefficient of Variation_2012,Coefficient of Variation_2015,90% Confidence Interval_2009 Lower Limit,90% Confidence Interval_2009 Upper Limit,90% Confidence Interval_2012 Lower Limit,90% Confidence Interval_2012 Upper Limit2,90% Confidence Interval_2015 Lower Limit,90% Confidence Interval_2015 Upper Limit,Longitude,Latitude,
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,Numancia,PH060416000,24.4,9.1,12.6,11.7,24.2,21.1,19.7,29.0,5.5,12.7,8.2,17.0,122.3358,11.7176,
Region VI (Western Visayas),PH060000000,Aklan,PH060400000,Tangalan,PH060417000,42.5,21.6,23.5,11.2,16.2,18.9,34.7,50.3,15.9,27.4,16.2,30.7,122.2330,11.7413,
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Anini-Y,PH060601000,45.4,18.5,19.5,8.9,16.0,15.4,38.8,52.1,13.6,23.3,14.6,24.5,121.9650,10.4469,
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Barbaza,PH060602000,46.3,23.4,20.7,7.7,12.5,12.6,40.4,52.1,18.6,28.2,16.4,25.0,122.1246,11.2542,
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Belison,PH060603000,25.8,11.2,13.3,19.6,31.2,25.9,17.5,34.2,5.4,16.9,7.7,19.0,121.9856,10.8535,
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Bugasong,PH060604000,39.7,22.5,23.8,8.3,12.6,14.1,34.2,45.1,17.8,27.2,18.2,29.3,122.1383,11.0876,
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Caluya,PH060605000,49.7,24.7,25.4,11.3,16.9,23.3,40.5,58.9,17.8,31.6,15.7,35.2,121.3863,12.0575,
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Culasi,PH060606000,37.2,22.1,23.0,8.6,11.7,11.4,31.9,42.5,17.8,26.3,18.7,27.3,122.1163,11.4204,
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Tobias Fornier (Dao),PH060607000,44.1,20.9,22.2,8.1,11.9,12.0,38.2,50.0,16.8,25.0,17.8,26.6,121.9778,10.5207,
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Hamtic,PH060608000,38.5,15.5,20.8,8.9,12.3,11.9,32.9,44.1,12.4,18.7,16.8,24.9,122.0102,10.6662,
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Laua-an,PH060609000,42.1,25.9,24.1,9.5,11.5,13.0,35.5,48.7,21.0,30.8,18.9,29.2,122.0788,11.1201,
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Libertad,PH060610000,37.3,21.7,20.9,13.2,16.3,19.0,29.1,45.4,15.9,27.5,14.4,27.4,121.9502,11.7873,
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Pandan,PH060611000,40.1,20.9,20.4,9.2,13.1,14.0,34.0,46.1,16.4,25.4,15.7,25.0,122.1308,11.7209,
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Patnongon,PH060612000,41.8,26.4,22.3,9.8,11.8,13.1,35.0,48.6,21.3,31.5,17.5,27.1,122.0362,10.9227,
Region VI (Western Visayas),PH060000000,Antique,PH060600000,San Jose (Capital),PH060613000,23.8,8.3,12.7,12.5,24.3,17.8,18.9,28.7,5.0,11.6,9.0,16.4,121.9567,10.7719,
Region VI (Western Visayas),PH060000000,Antique,PH060600000,San Remigio,PH060614000,55.5,35.9,35.3,7.3,9.4,10.0,48.8,62.1,30.4,41.4,29.4,41.1,122.1764,10.8981,
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Sebaste,PH060615000,43.0,24.2,19.8,14.4,20.0,20.5,32.8,53.1,16.2,32.1,13.1,26.4,122.1181,11.5893,
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Sibalom,PH060616000,37.5,21.2,20.1,7.5,10.9,12.1,32.9,42.1,17.4,25.0,16.1,24.1,122.0843,10.7546,
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Tibiao,PH060617000,49.6,22.2,20.9,8.7,14.0,19.0,42.5,56.7,17.1,27.3,14.4,27.5,122.0843,11.3127,
Region VI (Western Visayas),PH060000000,Antique,PH060600000,Valderrama,PH060618000,43.5,30.2,32.2,8.4,11.6,11.7,37.5,49.5,24.4,35.9,26.0,38.4,122.1964,11.0632,
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,Cuartero,PH061901000,27.3,33.5,19.4,17.3,11.3,17.0,19.5,35.0,27.2,39.7,13.9,24.8,122.7630,11.3212,
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,Dao,PH061902000,26.2,28.2,17.6,18.5,12.0,17.0,18.2,34.2,22.6,33.8,12.7,22.5,122.7059,11.3753,
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,Dumalag,PH061903000,15.6,24.7,15.9,24.4,11.6,21.9,9.4,21.9,20.0,29.4,10.2,21.6,122.6177,11.3117,
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,Dumarao,PH061904000,26.7,33.4,20.8,16.7,10.7,15.0,19.4,34.0,27.5,39.3,15.7,25.9,122.7442,11.2620,
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,Ivisan,PH061905000,20.2,31.7,18.7,22.6,13.6,18.6,12.7,27.7,24.6,38.7,13.0,24.5,122.6823,11.5195,
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,Jamindan,PH061906000,32.8,35.5,24.6,13.6,9.5,11.5,25.5,40.1,29.9,41.0,20.0,29.2,122.3983,11.4007,
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,Ma-ayon,PH061907000,25.5,39.9,24.2,15.7,8.6,13.3,18.9,32.1,34.3,45.6,18.9,29.5,122.8493,11.3529,
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,Mambusao,PH061908000,19.4,26.5,15.6,18.5,12.1,17.9,13.5,25.4,21.2,31.7,11.0,20.2,122.5835,11.4315,
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,Panay,PH061909000,23.1,30.8,19.3,15.0,8.6,15.3,17.4,28.8,26.5,35.1,14.4,24.1,122.8323,11.5348,
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,Panitan,PH061910000,22.1,29.7,17.9,18.6,10.8,17.1,15.3,28.8,24.4,34.9,12.9,23.0,122.7714,11.4415,
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,Pilar,PH061911000,22.2,36.6,23.0,18.7,10.3,17.3,15.3,29.0,30.4,42.8,16.4,29.6,123.0168,11.4620,
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,Pontevedra,PH061912000,17.8,29.1,17.9,19.5,12.7,15.6,12.1,23.4,23.0,35.1,13.3,22.5,122.8667,11.4377,
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,President Roxas,PH061913000,20.4,28.6,22.1,21.7,13.5,17.5,13.1,27.7,22.3,35.0,15.7,28.5,122.9584,11.4040,
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,City of Roxas (Capital),PH061914000,12.1,12.6,14.7,22.4,14.7,15.6,7.6,16.5,9.5,15.6,10.9,18.4,122.7438,11.5553,
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,Sapi-An,PH061915000,24.3,29.7,21.1,20.1,16.8,21.8,16.2,32.3,21.5,37.9,13.5,28.7,122.6009,11.4942,
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,Sigma,PH061916000,17.5,28.2,18.3,21.0,11.7,17.3,11.4,23.5,22.8,33.6,13.1,23.5,122.6688,11.4287,
Region VI (Western Visayas),PH060000000,Capiz,PH061900000,Tapaz,PH061917000,29.0,33.8,24.1,12.3,8.3,10.0,23.1,34.8,29.2,38.5,20.2,28.1,122.4151,11.2567,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Ajuy,PH063001000,30.9,30.6,25.7,11.5,10.3,14.1,25.1,36.7,25.4,35.8,19.7,31.6,122.9900,11.1459,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Alimodian,PH063002000,30.4,26.6,26.1,13.2,10.4,11.3,23.8,37.0,22.1,31.2,21.2,30.9,122.3882,10.8541,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Anilao,PH063003000,31.5,27.3,25.5,14.2,12.3,15.1,24.1,38.9,21.8,32.9,19.2,31.9,122.7393,11.0017,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Badiangan,PH063004000,18.5,16.8,22.5,15.8,12.2,12.9,13.7,23.3,13.4,20.2,17.7,27.3,122.5314,10.9914,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Balasan,PH063005000,30.4,24.1,24.2,12.9,12.8,13.2,24.0,36.9,19.0,29.2,18.9,29.4,123.0833,11.4547,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Banate,PH063006000,19.8,24.2,22.7,16.6,14.2,15.9,14.4,25.2,18.5,29.8,16.7,28.6,122.7927,11.0402,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Barotac Nuevo,PH063007000,15.9,17.6,21.1,15.9,11.0,11.2,11.7,20.1,14.4,20.8,17.2,25.0,122.7223,10.9089,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Barotac Viejo,PH063008000,26.2,25.4,24.2,14.5,12.0,12.2,20.0,32.5,20.4,30.4,19.3,29.1,122.8696,11.0871,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Batad,PH063009000,33.1,34.5,26.4,14.3,14.4,14.9,25.3,40.9,26.4,42.7,20.0,32.9,123.0996,11.4017,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Bingawan,PH063010000,26.8,26.3,24.2,20.7,17.5,16.8,17.7,35.9,18.7,33.9,17.5,30.9,122.5597,11.1884,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Cabatuan,PH063012000,15.2,15.9,19.0,13.1,10.5,9.9,11.9,18.5,13.1,18.6,15.9,22.1,122.4949,10.8810,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Calinog,PH063013000,29.6,27.0,28.3,11.8,9.7,9.7,23.9,35.4,22.7,31.3,23.8,32.8,122.4960,11.1512,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Carles,PH063014000,46.8,35.8,33.3,11.1,9.8,10.1,38.2,55.3,30.0,41.6,27.7,38.8,123.1200,11.5349,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Concepcion,PH063015000,48.4,36.8,27.5,9.6,11.2,12.9,40.8,56.0,30.0,43.6,21.6,33.3,123.0872,11.2047,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Dingle,PH063016000,17.3,21.8,21.8,16.2,11.1,12.8,12.7,22.0,17.8,25.7,17.2,26.4,122.6663,11.0118,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Dueñas,PH063017000,22.3,25.3,24.7,13.9,11.0,11.9,17.2,27.4,20.7,29.9,19.8,29.5,122.5864,11.0559,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Dumangas,PH063018000,16.0,21.4,21.0,14.5,11.2,13.2,12.2,19.8,17.4,25.3,16.4,25.6,122.7114,10.8345,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Estancia,PH063019000,22.1,26.1,24.0,14.3,12.2,14.7,16.9,27.3,20.9,31.3,18.2,29.8,123.1326,11.4536,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Guimbal,PH063020000,15.8,11.4,16.8,15.0,15.2,14.7,11.9,19.7,8.6,14.3,12.7,20.8,122.3099,10.6926,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Igbaras,PH063021000,29.2,22.5,25.4,12.8,10.5,11.0,23.0,35.4,18.6,26.4,20.8,30.0,122.2421,10.7544,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,City of Iloilo (Capital),PH063022000,7.6,6.0,13.5,13.3,19.2,11.3,5.9,9.2,4.1,7.9,11.0,16.0,122.5552,10.7235,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Janiuay,PH063023000,25.8,25.3,25.7,10.9,9.1,10.2,21.2,30.5,21.5,29.0,21.4,30.0,122.4201,10.9963,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Lambunao,PH063025000,23.2,26.6,26.3,14.1,9.4,9.0,17.8,28.5,22.5,30.7,22.4,30.2,122.3902,11.1089,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Leganes,PH063026000,15.2,10.1,16.4,18.8,24.7,16.6,10.5,19.9,6.0,14.2,11.9,20.8,122.5987,10.7903,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Lemery,PH063027000,33.8,28.3,24.0,12.3,11.1,13.5,27.0,40.7,23.1,33.5,18.7,29.3,122.9137,11.2286,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Leon,PH063028000,33.7,24.0,23.7,13.1,8.4,9.3,26.4,40.9,20.6,27.3,20.1,27.3,122.3446,10.8247,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Maasin,PH063029000,22.6,28.3,28.4,12.1,9.7,9.9,18.1,27.0,23.8,32.8,23.8,33.0,122.3960,10.9263,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Miagao,PH063030000,26.1,18.8,20.7,11.0,9.8,9.3,21.4,30.8,15.8,21.8,17.5,23.8,122.1836,10.6853,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Mina,PH063031000,15.5,24.3,22.1,18.5,13.4,14.1,10.8,20.3,19.0,29.6,16.9,27.2,122.5801,10.9297,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,New Lucena,PH063032000,16.8,16.6,20.0,17.3,15.5,15.1,12.0,21.6,12.3,20.8,15.0,25.0,122.5784,10.8723,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Oton,PH063034000,15.8,10.5,15.3,14.2,16.8,14.1,12.1,19.5,7.6,13.4,11.7,18.8,122.4669,10.7253,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,City of Passi,PH063035000,24.5,25.1,23.3,12.0,9.3,11.3,19.6,29.3,21.3,29.0,18.9,27.6,122.6678,11.1665,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Pavia,PH063036000,10.2,8.6,10.7,20.3,23.8,19.1,6.8,13.6,5.2,12.0,7.3,14.0,122.5342,10.7729,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Pototan,PH063037000,17.3,18.9,21.2,13.9,9.7,10.6,13.4,21.3,15.9,21.9,17.5,25.0,122.6319,10.9296,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,San Dionisio,PH063038000,42.3,32.7,28.2,10.9,10.1,12.3,34.7,49.8,27.3,38.1,22.5,33.9,123.0763,11.3273,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,San Enrique,PH063039000,28.3,26.2,25.8,13.0,11.6,12.9,22.3,34.4,21.2,31.2,20.4,31.3,122.7168,11.1052,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,San Joaquin,PH063040000,38.3,28.1,26.7,10.8,9.1,10.1,31.4,45.1,23.9,32.3,22.2,31.1,122.0776,10.5958,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,San Miguel,PH063041000,17.9,14.3,18.9,15.9,16.9,20.1,13.2,22.6,10.3,18.2,12.7,25.2,122.4704,10.7848,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,San Rafael,PH063042000,30.1,28.4,23.8,17.5,17.1,19.8,21.4,38.7,20.4,36.4,16.0,31.5,122.8268,11.1527,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Santa Barbara,PH063043000,13.5,13.1,17.3,14.5,13.5,12.4,10.3,16.8,10.2,16.1,13.8,20.8,122.5400,10.8226,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Sara,PH063044000,24.1,26.1,23.2,12.9,10.8,11.8,19.0,29.2,21.4,30.7,18.7,27.6,122.9974,11.3024,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Tigbauan,PH063045000,23.3,19.1,20.4,12.9,10.6,12.0,18.4,28.3,15.8,22.5,16.4,24.5,122.3773,10.7151,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Tubungan,PH063046000,35.5,28.4,26.9,11.8,9.5,9.8,28.6,42.4,24.0,32.9,22.5,31.2,122.2863,10.8007,
Region VI (Western Visayas),PH060000000,Iloilo,PH063000000,Zarraga,PH063047000,15.4,16.8,17.4,16.7,14.1,14.8,11.2,19.7,12.9,20.7,13.2,21.6,122.6283,10.8273,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,City of Bacolod (Capital),PH064501000,11.2,3.2,9.2,18.2,30.7,20.2,7.8,14.5,1.6,4.8,6.2,12.3,122.9930,10.6471,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,City of Bago,PH064502000,20.7,20.6,19.3,14.5,15.5,15.0,15.8,25.7,15.3,25.8,14.5,24.0,122.9869,10.5003,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,Binalbagan,PH064503000,28.9,16.6,21.7,15.1,18.9,18.3,21.7,36.1,11.4,21.7,15.1,28.2,123.0425,10.1043,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,City of Cadiz,PH064504000,27.3,24.7,22.5,12.5,15.2,16.9,21.7,32.9,18.5,30.8,16.3,28.8,123.2548,10.8516,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,Calatrava,PH064505000,39.1,33.0,27.6,8.7,11.4,11.8,33.5,44.7,26.8,39.2,22.3,33.0,123.4050,10.6392,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,Candoni,PH064506000,41.9,29.4,25.5,12.4,14.9,20.8,33.3,50.4,22.2,36.6,16.8,34.2,122.6268,9.7650,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,Cauayan,PH064507000,55.2,31.2,27.5,8.6,10.8,14.5,47.4,62.9,25.6,36.7,21.0,34.1,122.5582,9.9085,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,Enrique B. Magalona (Saravia),PH064508000,24.7,20.3,19.9,12.8,14.0,15.8,19.5,29.8,15.6,25.0,14.7,25.1,123.0103,10.8731,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,City of Escalante,PH064509000,25.6,23.5,23.8,14.8,15.1,16.1,19.3,31.8,17.7,29.4,17.5,30.1,123.4770,10.8022,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,City of Himamaylan,PH064510000,31.4,23.5,19.8,11.4,15.6,15.8,25.5,37.3,17.5,29.5,14.6,24.9,122.9255,10.0600,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,Hinigaran,PH064511000,30.6,16.6,16.6,12.6,17.2,17.9,24.2,36.9,11.9,21.3,11.7,21.4,122.9086,10.2693,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,Hinoba-An (Asia),PH064512000,52.8,30.4,26.3,10.9,14.8,16.5,43.4,62.3,23.0,37.7,19.2,33.4,122.5749,9.5848,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,Ilog,PH064513000,39.1,24.2,19.2,12.4,16.5,23.5,31.1,47.0,17.6,30.8,11.8,26.6,122.7250,9.8296,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,Isabela,PH064514000,33.8,27.3,26.8,11.7,12.1,13.5,27.3,40.3,21.9,32.7,20.9,32.8,123.0375,10.2063,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,City of Kabankalan,PH064515000,40.9,25.8,25.8,7.8,13.2,13.1,35.6,46.1,20.2,31.4,20.2,31.4,122.8261,9.8565,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,City of La Carlota,PH064516000,19.3,10.3,12.3,17.5,21.0,22.4,13.7,24.8,6.8,13.9,7.7,16.8,122.9563,10.4099,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,La Castellana,PH064517000,29.7,29.6,26.1,17.6,16.1,20.4,21.1,38.3,21.7,37.4,17.3,34.9,123.1266,10.3587,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,Manapla,PH064518000,28.4,24.6,21.9,16.8,18.5,21.1,20.5,36.2,17.1,32.1,14.3,29.4,123.1416,10.9139,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,Moises Padilla (Magallon),PH064519000,40.6,32.5,31.2,13.5,15.9,15.7,31.6,49.7,24.0,41.1,23.2,39.3,123.1119,10.2715,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,Murcia,PH064520000,20.7,23.3,21.6,18.4,15.6,17.4,14.5,27.0,17.3,29.2,15.4,27.8,123.1009,10.5787,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,Pontevedra,PH064521000,20.4,18.3,16.6,16.1,17.3,22.4,15.0,25.8,13.1,23.6,10.5,22.7,122.9288,10.3556,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,Pulupandan,PH064522000,24.6,10.3,12.6,13.1,20.8,20.7,19.3,29.9,6.8,13.8,8.3,16.9,122.8189,10.5197,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,City of Sagay,PH064523000,28.0,25.2,22.5,11.6,13.9,14.3,22.6,33.3,19.4,30.9,17.2,27.7,123.3931,10.8489,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,City of San Carlos,PH064524000,34.0,23.2,24.1,12.8,18.0,17.7,26.9,41.2,16.3,30.0,17.1,31.1,123.3058,10.4895,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,San Enrique,PH064525000,21.8,12.3,15.7,23.4,27.9,24.4,13.4,30.2,6.7,17.9,9.4,21.9,122.8706,10.4177,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,City of Silay,PH064526000,17.6,14.0,16.0,21.2,21.3,20.1,11.4,23.7,9.1,18.8,10.7,21.3,123.0981,10.7679,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,City of Sipalay,PH064527000,45.9,29.1,24.1,11.0,15.8,19.1,37.6,54.2,21.6,36.7,16.5,31.7,122.4771,9.7494,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,City of Talisay,PH064528000,15.7,10.4,13.9,18.7,21.9,21.3,10.9,20.5,6.6,14.1,9.0,18.8,123.0835,10.7013,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,Toboso,PH064529000,31.8,31.4,26.6,19.2,18.5,22.8,21.8,41.8,21.8,40.9,16.6,36.6,123.4469,10.7262,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,Valladolid,PH064530000,21.2,10.7,12.6,16.3,21.4,21.1,15.5,26.8,6.9,14.4,8.2,17.0,122.8529,10.4618,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,City of Victorias,PH064531000,19.2,15.6,17.4,15.4,19.7,18.7,14.3,24.0,10.5,20.7,12.0,22.7,123.0759,10.8809,
Region VI (Western Visayas),PH060000000,Negros Occidental,PH064500000,Salvador Benedicto,PH064532000,55.9,40.7,25.9,14.6,21.1,27.3,42.5,69.2,26.5,54.8,14.2,37.5,123.2569,10.5893,
Region VI (Western Visayas),PH060000000,Guimaras,PH067900000,Buenavista,PH067901000,23.9,16.3,18.4,10.4,13.6,12.3,19.8,28.0,12.6,19.9,14.6,22.1,122.6632,10.6895,
Region VI (Western Visayas),PH060000000,Guimaras,PH067900000,Jordan (Capital),PH067902000,17.7,17.5,19.3,18.4,17.3,20.1,12.3,23.0,12.5,22.5,12.9,25.7,122.5737,10.6067,
Region VI (Western Visayas),PH060000000,Guimaras,PH067900000,Nueva Valencia,PH067903000,36.4,19.0,26.4,10.7,14.4,12.4,30.0,42.8,14.5,23.6,21.0,31.8,122.5447,10.4722,
Region VI (Western Visayas),PH060000000,Guimaras,PH067900000,San Lorenzo,PH067904000,44.0,28.7,28.9,12.5,16.7,19.2,34.9,53.1,20.8,36.6,19.7,38.0,122.6714,10.5956,
Region VI (Western Visayas),PH060000000,Guimaras,PH067900000,Sibunag,PH067905000,49.3,28.4,25.0,11.6,12.5,15.2,39.9,58.8,22.6,34.2,18.7,31.2,122.6121,10.5188,
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Alburquerque,PH071201000,25.4,15.9,16.3,13.1,15.8,19.1,20.0,30.9,11.8,20.1,11.2,21.4,123.9656,9.6369,
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Alicia,PH071202000,53.7,33.9,35.4,8.4,11.1,10.7,46.3,61.2,27.8,40.1,29.2,41.6,124.4268,9.8917,
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Anda,PH071203000,49.6,30.9,30.1,8.5,11.0,10.4,42.7,56.5,25.3,36.5,24.9,35.2,124.5534,9.7680,
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Antequera,PH071204000,36.8,18.5,18.4,8.4,11.5,16.7,31.7,41.9,15.0,21.9,13.4,23.5,123.9125,9.7900,
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Baclayon,PH071205000,23.9,15.1,15.8,11.3,14.7,13.9,19.4,28.3,11.4,18.7,12.2,19.4,123.9167,9.6429,
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Balilihan,PH071206000,51.9,31.3,22.5,5.5,8.1,10.7,47.1,56.6,27.2,35.4,18.5,26.4,123.9957,9.7664,
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Batuan,PH071207000,46.8,32.3,24.1,7.3,9.2,13.6,41.2,52.5,27.4,37.2,18.7,29.5,124.1257,9.8036,
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Bilar,PH071208000,47.9,22.6,23.8,7.4,11.0,11.0,42.1,53.7,18.5,26.6,19.5,28.1,124.1161,9.7062,
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Buenavista,PH071209000,55.9,45.5,41.9,5.5,6.0,7.0,50.8,61.0,40.9,50.0,37.0,46.7,124.1639,10.0459,
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Calape,PH071210000,40.4,25.4,22.7,6.6,9.8,10.3,36.0,44.8,21.3,29.5,18.9,26.5,123.8927,9.8692,
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Candijay,PH071211000,52.3,34.5,28.4,5.8,7.9,9.0,47.3,57.3,30.0,39.0,24.2,32.6,124.4811,9.8285,
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Carmen,PH071212000,55.2,38.4,29.2,5.9,7.6,8.2,49.8,60.5,33.6,43.2,25.3,33.2,124.1985,9.8359,
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Catigbian,PH071213000,51.3,37.0,29.2,6.7,8.2,12.5,45.6,56.9,32.0,42.0,23.2,35.2,124.0317,9.8491,
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Clarin,PH071214000,39.2,26.4,22.9,8.4,9.5,10.7,33.8,44.6,22.2,30.5,18.9,26.9,124.0399,9.9446,
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Corella,PH071215000,32.0,17.9,14.0,12.9,17.2,20.6,25.2,38.7,12.8,22.9,9.2,18.7,123.9321,9.6886,
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Cortes,PH071216000,26.9,15.9,15.9,13.4,15.2,17.4,21.0,32.8,11.9,19.8,11.3,20.4,123.9037,9.7192,
Region VII (Central Visayas),PH070000000,Bohol,PH071200000,Dagohoy,PH071217000,56.0,40.7,35.2,7.5,10.2,10.3,49.0,62.9,33.8,47.5,29.2,41.1,124.2735,9.9065,
