Region,Region code,Province,Province code,Notes,"2015*_Annual Per Capita Poverty Threshold 
(in Pesos)","2018_Annual Per Capita Poverty Threshold 
(in Pesos)",2015* Estimate_Poverty Incidence among Families (%),2018 Estimate_Poverty Incidence among Families (%),2015*_CV,2018_CV,2015*_Standard Error ,2018_Standard Error ,2015*_90% CI_Lower limit,2015*_90% CI_Upper limit,2018_90% CI_Lower limit,2018_90% CI_Upper limit,"2015*_Estimate_Magnitude of Poor Families
(in thousands)","2018_Estimate_Magnitude of Poor Families
(in thousands)",2015*_Standard Error,2018_Standard Error,2015*_90% CI_Lower limit ,2015*_90% CI_Upper limit ,2018_90% CI_Lower limit ,2018_90% CI_Upper limit 
REGION VI (WESTERN VISAYAS),PH060000000,GUIMARAS,PH067900000,"a/, c/","23,327","25,855",4.8,6.6,81.5,17.7,3.9,1.2,0.0,11.3,4.7,8.5,1.6,2.9,1.0,0.5,0.0,3.3,2.0,3.8
REGION VI (WESTERN VISAYAS),PH060000000,ILOILO,PH063000000,,"22,786","26,071",16.2,12.0,12.5,9.6,2.0,1.1,12.8,19.5,10.1,13.8,95.4,68.3,17.0,6.7,67.4,123.4,57.2,79.3
REGION VI (WESTERN VISAYAS),PH060000000,NEGROS OCCIDENTAL,PH064500000,,"21,573","23,712",25.5,14.6,9.8,10.5,2.5,1.5,21.3,29.6,12.1,17.2,170.6,109.0,24.7,12.3,130.0,211.2,88.7,129.2
REGION VII (CENTRAL VISAYAS),PH070000000,BOHOL,PH071200000,,"22,570","26,091",25.0,15.2,12.8,10.0,3.2,1.5,19.7,30.2,12.7,17.7,70.5,46.7,15.4,4.6,45.2,95.8,39.0,54.3
REGION VII (CENTRAL VISAYAS),PH070000000,CEBU,PH072200000,,"23,030","25,857",19.8,11.1,7.8,9.3,1.6,1.0,17.3,22.4,9.4,12.8,202.3,131.5,24.8,12.5,161.5,243.0,111.0,152.1
REGION VII (CENTRAL VISAYAS),PH070000000,NEGROS ORIENTAL,PH074600000,,"22,042","25,039",36.1,19.2,10.9,9.7,4.0,1.9,29.6,42.6,16.1,22.3,131.0,62.5,25.6,6.7,88.8,173.2,51.4,73.5
REGION VII (CENTRAL VISAYAS),PH070000000,SIQUIJOR,PH076100000,a/ b/ ,"21,380","25,626",47.0,7.2,9.9,20.2,4.6,1.5,39.4,54.6,4.8,9.6,16.5,1.7,8.6,0.4,2.4,30.5,1.1,2.3
REGION VIII (EASTERN VISAYAS),PH080000000,BILIRAN,PH087800000,c/,"21,372","24,216",17.4,13.8,22.1,9.6,3.9,1.3,11.1,23.8,11.6,15.9,8.3,5.7,3.3,0.6,2.8,13.8,4.7,6.6
REGION VIII (EASTERN VISAYAS),PH080000000,EASTERN SAMAR,PH082600000,,"25,358","29,070",42.4,40.9,17.2,5.2,7.3,2.1,30.4,54.3,37.4,44.5,43.4,48.1,13.6,3.2,21.0,65.7,42.9,53.2
REGION VIII (EASTERN VISAYAS),PH080000000,LEYTE,PH083700000,,"21,397","23,583",25.1,21.9,9.5,6.8,2.4,1.5,21.1,29.0,19.4,24.3,119.4,108.0,18.5,8.6,89.0,149.7,93.9,122.1
REGION VIII (EASTERN VISAYAS),PH080000000,NORTHERN SAMAR,PH084800000,,"22,676","25,949",51.5,27.4,11.3,7.4,5.8,2.0,42.0,61.0,24.1,30.7,61.9,36.8,17.0,2.9,34.0,89.9,32.0,41.6
REGION VIII (EASTERN VISAYAS),PH080000000,SOUTHERN LEYTE,PH086400000,,"23,932","25,718",32.7,17.2,13.6,8.5,4.4,1.5,25.4,40.0,14.8,19.6,29.6,16.3,9.5,1.4,14.0,45.2,13.9,18.6
REGION VIII (EASTERN VISAYAS),PH080000000,SAMAR (WESTERN SAMAR),PH086000000,,"21,298","23,131",41.8,22.1,13.9,8.9,5.8,2.0,32.3,51.4,18.9,25.3,62.4,39.1,16.2,3.8,35.7,89.1,32.8,45.3
REGION IX (ZAMBOANGA PENINSULA),PH090000000,ZAMBOANGA DEL NORTE,PH097200000,,"24,303","28,428",50.8,36.8,8.1,7.4,4.1,2.7,44.0,57.6,32.3,41.2,118.8,86.8,21.1,6.5,84.1,153.6,76.0,97.5
REGION IX (ZAMBOANGA PENINSULA),PH090000000,ZAMBOANGA DEL SUR,PH097300000,,"20,403","23,979",18.8,17.6,12.4,7.5,2.3,1.3,14.9,22.6,15.4,19.7,77.8,74.7,14.1,6.1,54.6,101.0,64.6,84.8
REGION IX (ZAMBOANGA PENINSULA),PH090000000,ZAMBOANGA SIBUGAY,PH098300000,,"21,360","23,041",27.9,27.1,10.5,7.9,2.9,2.1,23.1,32.8,23.6,30.6,32.8,41.3,8.4,3.5,19.1,46.6,35.6,47.0
REGION IX (ZAMBOANGA PENINSULA),PH090000000,CITY OF ISABELA (Not a Province),PH099700000,"a/,c/","22,448","25,708",22.2,40.6,45.2,8.9,10.1,3.6,5.7,38.8,34.7,46.6,7.4,10.0,5.2,1.3,0.0,16.0,7.9,12.1
REGION X (NORTHERN MINDANAO),PH100000000,BUKIDNON,PH101300000,,"23,836","25,603",47.1,22.2,6.6,7.5,3.1,1.7,42.0,52.3,19.4,24.9,138.2,73.1,24.8,5.7,97.4,179.0,63.7,82.5
REGION X (NORTHERN MINDANAO),PH100000000,CAMIGUIN,PH101800000,"a/, c/","23,801","25,837",33.9,17.3,29.5,10.0,10.0,1.7,17.4,50.3,14.5,20.2,8.1,3.7,4.4,0.4,0.9,15.2,3.1,4.3
REGION X (NORTHERN MINDANAO),PH100000000,LANAO DEL NORTE,PH103500000,,"22,377","24,494",37.3,19.0,14.1,6.9,5.3,1.3,28.7,46.0,16.9,21.2,76.6,44.3,18.9,3.2,45.5,107.7,39.1,49.5
REGION X (NORTHERN MINDANAO),PH100000000,MISAMIS OCCIDENTAL,PH104200000,,"22,261","24,435",36.8,19.3,10.3,9.0,3.8,1.7,30.5,43.1,16.5,22.2,45.5,27.1,11.8,2.6,26.0,64.9,22.8,31.4
REGION X (NORTHERN MINDANAO),PH100000000,MISAMIS ORIENTAL,PH104300000,,"21,967","24,003",16.4,11.4,12.6,7.6,2.1,0.9,13.0,19.7,9.9,12.8,64.9,45.1,13.3,3.7,43.0,86.8,39.0,51.1
REGION XI (DAVAO REGION),PH110000000,DAVAO DEL NORTE,PH112300000,,"23,807","27,031",24.3,10.2,16.6,13.4,4.0,1.4,17.7,31.0,8.0,12.5,50.0,24.9,11.5,3.6,31.1,68.8,18.9,30.8
REGION XI (DAVAO REGION),PH110000000,DAVAO DEL SUR,PH112400000,,"23,311","25,965",9.9,8.1,16.7,14.4,1.7,1.2,7.2,12.6,6.2,10.0,61.5,51.4,11.0,8.1,43.4,79.5,38.0,64.7
REGION XI (DAVAO REGION),PH110000000,DAVAO ORIENTAL,PH112500000,,"22,889","26,299",22.5,27.7,16.2,6.8,3.6,1.9,16.5,28.5,24.6,30.8,27.5,21.5,8.0,1.7,14.4,40.7,18.8,24.3
REGION XI (DAVAO REGION),PH110000000,DAVAO DE ORO (COMPOSTELA VALLEY),PH118200000,,"22,153","25,793",20.8,18.5,12.7,8.5,2.6,1.6,16.4,25.2,15.9,21.1,30.5,33.1,7.5,3.2,18.2,42.8,27.9,38.3
REGION XI (DAVAO REGION),PH110000000,DAVAO OCCIDENTAL,PH118600000,,"22,809","25,063",51.1,30.9,13.1,6.9,6.7,2.1,40.1,62.0,27.4,34.4,42.0,45.5,10.3,3.4,25.1,59.0,40.0,51.1
