Region Code: AS
"Region Name: Asia"
Country Code: PHL
"Country Name: Philippines"
Export date: 4/17/2026 7:42:03 AM
Source location: "WHO Mortality Database portal"
Metadata information: 

Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CG0280,Leprosy,2002,All,Age_all,[All],68.00000000,0.01715885,0.15656024,0.08357375,
CG0290,Dengue,2002,All,Age_all,[All],576.00000000,0.14534554,0.55324790,0.70791885,
CG0300,Japanese encephalitis,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0310,Trachoma,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0320,Intestinal nematode infections,2002,All,Age_all,[All],40.00000000,0.01009344,0.05697335,0.04916103,
CG0330,Ascariasis,2002,All,Age_all,[All],31.00000000,0.00782242,0.03099393,0.03809980,
CG0340,Trichuriasis,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0350,Hookworm disease,2002,All,Age_all,[All],8.00000000,0.00201869,0.02513035,0.00983221,
CG0360,Other intestinal infections,2002,All,Age_all,[All],1.00000000,0.00025234,0.00084906,0.00122903,
CG0370,Other infectious diseases,2002,All,Age_all,[All],5911.00000000,1.49155810,11.51704864,7.26477141,
CG0380,Respiratory infections,2002,All,Age_all,[All],35567.00000000,8.97483453,102.04388735,43.71276006,
CG0390,Lower respiratory infections,2002,All,Age_all,[All],35421.00000000,8.93799347,101.76879422,43.53332229,
CG0400,Upper respiratory infections,2002,All,Age_all,[All],83.00000000,0.02094389,0.19601881,0.10200914,
CG0410,Otitis media,2002,All,Age_all,[All],63.00000000,0.01589717,0.07907432,0.07742862,
CG0420,Maternal conditions,2002,All,Age_all,[All],1801.00000000,0.45445714,2.32803855,2.21347544,
CG0430,Maternal haemorrhage,2002,All,Age_all,[All],413.00000000,0.10421477,0.54003321,0.50758765,
CG0440,Maternal sepsis,2002,All,Age_all,[All],88.00000000,0.02220557,0.11191938,0.10815427,
CG0450,Hypertensive disorders,2002,All,Age_all,[All],533.00000000,0.13449509,0.69080805,0.65507074,
CG0460,Obstructed labour,2002,All,Age_all,[All],7.00000000,0.00176635,0.00891182,0.00860318,
CG0470,Pregnancy with abortive outcome,2002,All,Age_all,[All],161.00000000,0.04062610,0.20760620,0.19787315,
CG0480,Other maternal conditions,2002,All,Age_all,[All],599.00000000,0.15114926,0.76875989,0.73618644,
CG0490,Perinatal conditions,2002,All,Age_all,[All],13496.00000000,3.40552666,10.67477710,16.58693198,
CG0500,Low birth weight,2002,All,Age_all,[All],955.00000000,0.24098088,0.75536545,1.17371962,
CG0510,Birth asphyxia and birth trauma,2002,All,Age_all,[All],766.00000000,0.19328938,0.60587428,0.94143375,
CG0520,Other perinatal conditions,2002,All,Age_all,[All],11775.00000000,2.97125641,9.31353737,14.47177861,
CG0530,Nutritional deficiencies,2002,All,Age_all,[All],4318.00000000,1.08958685,11.06611887,5.30693334,
CG0540,Protein-energy malnutrition,2002,All,Age_all,[All],2280.00000000,0.57532608,5.64717921,2.80217879,
CG0550,Iodine deficiency,2002,All,Age_all,[All],4.00000000,0.00100934,0.00592663,0.00491610,
CG0560,Vitamin A deficiency,2002,All,Age_all,[All],2.00000000,0.00050467,0.00612850,0.00245805,
CG0570,Iron-deficiency anaemia,2002,All,Age_all,[All],1602.00000000,0.40424227,3.98526656,1.96889931,
CG0580,Other nutritional disorders,2002,All,Age_all,[All],430.00000000,0.10850448,1.42161797,0.52848109,
CG0590,Noncommunicable diseases,2002,All,Age_all,[All],242973.00000000,61.31083506,626.47765846,298.62008180,
CG0600,Malignant neoplasms,2002,All,Age_all,[All],38821.00000000,9.79593588,90.41031709,47.71200996,
CG0610,Mouth and oropharynx cancers,2002,All,Age_all,[All],2017.00000000,0.50896171,4.98534454,2.47894501,
CG0611,a. Lip and oral cavity cancers,2002,All,Age_all,[All],690.00000000,0.17411184,1.80857561,0.84802779,
CG0612,b. Nasopharynx cancers,2002,All,Age_all,[All],502.00000000,0.12667267,1.07432362,0.61697094,
CG0613,c. Other pharynx cancer,2002,All,Age_all,[All],825.00000000,0.20817720,2.10244531,1.01394627,
CG0620,Oesophagus cancer,2002,All,Age_all,[All],413.00000000,0.10421477,1.02310630,0.50758765,
CG0630,Stomach cancer,2002,All,Age_all,[All],1590.00000000,0.40121424,4.01626431,1.95415100,
CG0640,Colon and rectum cancers,2002,All,Age_all,[All],2650.00000000,0.66869040,6.70358052,3.25691833,
CG0650,Liver cancer,2002,All,Age_all,[All],4967.00000000,1.25335291,11.40024766,6.10457107,
CG0660,Pancreas cancer,2002,All,Age_all,[All],895.00000000,0.22584072,2.31317086,1.09997808,
CG0670,"Trachea, bronchus, lung cancers",2002,All,Age_all,[All],6890.00000000,1.73859504,17.26676667,8.46798765,
CG0680,Melanoma and other skin cancers,2002,All,Age_all,[All],258.00000000,0.06510269,0.67422750,0.31708865,
CG0681,a. Malignant skin melanoma,2002,All,Age_all,[All],102.00000000,0.02573827,0.27999301,0.12536063,
CG0682,b. Non-melanoma skin cancer,2002,All,Age_all,[All],156.00000000,0.03936442,0.39423449,0.19172802,
CG0690,Breast cancer,2002,All,Age_all,[All],3978.00000000,1.00379261,8.60771557,4.88906457,
CG0700,Cervix uteri cancer,2002,All,Age_all,[All],998.00000000,0.25183133,2.05349869,1.22656773,
CG0710,Corpus uteri cancer,2002,All,Age_all,[All],1176.00000000,0.29674714,2.59649287,1.44533432,
CG0720,Ovary cancer,2002,All,Age_all,[All],836.00000000,0.21095290,1.82357254,1.02746556,
CG0730,Prostate cancer,2002,All,Age_all,[All],1274.00000000,0.32147606,4.03954892,1.56577885,
CG0731,Testicular cancer,2002,All,Age_all,[All],71.00000000,0.01791586,0.13466429,0.08726083,
CG0732,Kidney cancer,2002,All,Age_all,[All],407.00000000,0.10270075,0.94733561,0.50021349,
CG0740,Bladder cancer,2002,All,Age_all,[All],267.00000000,0.06737371,0.70045571,0.32814988,
CG0741,Brain and nervous system cancers,2002,All,Age_all,[All],1099.00000000,0.27731726,2.08439097,1.35069934,
CG0742,Gallbladder and biliary tract cancer,2002,All,Age_all,[All],159.00000000,0.04012142,0.42812344,0.19541510,
CG0743,Larynx cancer,2002,All,Age_all,[All],385.00000000,0.09714936,0.97255424,0.47317493,
CG0744,Thyroid cancer,2002,All,Age_all,[All],490.00000000,0.12364464,1.23761555,0.60222263,
CG0745,Mesothelioma,2002,All,Age_all,[All],8.00000000,0.00201869,0.01959883,0.00983221,
CG0750,"Lymphomas, multiple myeloma",2002,All,Age_all,[All],1089.00000000,0.27479390,2.39253303,1.33840908,
CG0751,a. Hodgkin lymphoma,2002,All,Age_all,[All],89.00000000,0.02245790,0.18433980,0.10938329,
CG0752,b. Non-Hodgkin lymphoma,2002,All,Age_all,[All],857.00000000,0.21625195,1.84688264,1.05327510,
CG0753,c. Multiple myeloma,2002,All,Age_all,[All],143.00000000,0.03608405,0.36131059,0.17575069,
CG0760,Leukaemia,2002,All,Age_all,[All],2406.00000000,0.60712042,3.87350459,2.95703604,
CG0780,Other neoplasms,2002,All,Age_all,[All],1489.00000000,0.37572830,3.30427397,1.83001939,
CG0790,Diabetes mellitus,2002,All,Age_all,[All],13922.00000000,3.51302180,36.64515420,17.11049696,
CG0800,Endocrine disorders,2002,All,Age_all,[All],3650.00000000,0.92102640,7.76533018,4.48594411,
CG0810,Neuropsychiatric conditions,2002,All,Age_all,[All],4093.00000000,1.03281125,7.48702208,5.03040253,
CG0820,Unipolar depressive disorders,2002,All,Age_all,[All],34.00000000,0.00857942,0.06761216,0.04178688,
CG0830,Bipolar disorder,2002,All,Age_all,[All],6.00000000,0.00151402,0.00974203,0.00737415,
CG0840,Schizophrenia,2002,All,Age_all,[All],255.00000000,0.06434568,0.48709420,0.31340157,
CG0850,Epilepsy,2002,All,Age_all,[All],1029.00000000,0.25965374,1.34410013,1.26466753,
CG0860,Alcohol use disorders,2002,All,Age_all,[All],488.00000000,0.12313997,0.90766508,0.59976458,
CG0870,Alzheimer and other dementias,2002,All,Age_all,[All],437.00000000,0.11027083,1.43983836,0.53708427,
CG0880,Parkinson disease,2002,All,Age_all,[All],217.00000000,0.05475691,0.64387912,0.26669860,
CG0890,Multiple sclerosis,2002,All,Age_all,[All],32.00000000,0.00807475,0.05313257,0.03932883,
CG0900,Drug use disorders,2002,All,Age_all,[All],58.00000000,0.01463549,0.08982910,0.07128350,
CG0910,Post-traumatic stress disorder,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0920,Obsessive-compulsive disorder,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0930,Panic disorder,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0940,Insomnia (primary),2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0950,Migraine,2002,All,Age_all,[All],2.00000000,0.00050467,0.00383180,0.00245805,
CG0960,Mental Retardation,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0970,Other neuropsychiatric disorders,2002,All,Age_all,[All],1535.00000000,0.38733576,2.44029752,1.88655458,
CG0980,Sense organ diseases,2002,All,Age_all,[All],62.00000000,0.01564483,0.12755911,0.07619960,
CG0990,Glaucoma,2002,All,Age_all,[All],9.00000000,0.00227102,0.03021977,0.01106123,
CG1000,Cataracts,2002,All,Age_all,[All],4.00000000,0.00100934,0.01614774,0.00491610,
CG1010,"Vision disorders, age-related",2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1020,"Hearing loss, adult onset ",2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1030,Other sense organ disorders,2002,All,Age_all,[All],49.00000000,0.01236446,0.08119160,0.06022226,
CG1040,Cardiovascular diseases,2002,All,Age_all,[All],119742.00000000,30.21521737,333.35837227,147.16600542,
CG1050,Rheumatic heart disease,2002,All,Age_all,[All],2602.00000000,0.65657827,3.71177126,3.19792509,
CG1060,Hypertensive heart disease,2002,All,Age_all,[All],12015.00000000,3.03181705,33.59684455,14.76674479,
CG1070,Ischaemic heart disease,2002,All,Age_all,[All],40459.00000000,10.20926225,113.25417355,49.72515419,
CG1080,Cerebrovascular disease,2002,All,Age_all,[All],40515.00000000,10.22339306,110.98158902,49.79397964,
CG1090,Inflammatory heart diseases,2002,All,Age_all,[All],1185.00000000,0.29901816,2.80627571,1.45639555,
CG1110,Respiratory diseases,2002,All,Age_all,[All],21622.00000000,5.45600900,58.39261413,26.57399550,
CG1120,Chronic obstructive pulmonary disease,2002,All,Age_all,[All],10493.00000000,2.64776165,30.93245190,12.89616755,
CG1130,Asthma,2002,All,Age_all,[All],8608.00000000,2.17210829,21.19956711,10.57945395,
CG1140,Other respiratory diseases,2002,All,Age_all,[All],2521.00000000,0.63613906,6.26059512,3.09837400,
CG1150,Digestive diseases,2002,All,Age_all,[All],19441.00000000,4.90566419,44.37890117,23.89349027,
CG1160,Peptic ulcer disease,2002,All,Age_all,[All],6102.00000000,1.53975428,16.29907284,7.49951533,
CG1170,Cirrhosis of the liver,2002,All,Age_all,[All],5477.00000000,1.38204427,12.03132448,6.73137422,
CG1180,Appendicitis,2002,All,Age_all,[All],314.00000000,0.07923350,0.54398493,0.38591410,
CG1181,Gastritis and duodenitis,2002,All,Age_all,[All],222.00000000,0.05601859,0.57254252,0.27284372,
CG1182,Paralytic ileus and intestinal obstruction,2002,All,Age_all,[All],814.00000000,0.20540150,1.86362007,1.00042699,
CG1183,Inflammatory bowel disease,2002,All,Age_all,[All],312.00000000,0.07872883,0.81022051,0.38345604,
CG1184,Gallbladder and biliary diseases,2002,All,Age_all,[All],554.00000000,0.13979414,1.35900738,0.68088028,
CG1185,Pancreatitis,2002,All,Age_all,[All],2774.00000000,0.69998007,4.29657340,3.40931752,
CG1190,Other digestive diseases,2002,All,Age_all,[All],2872.00000000,0.72470899,6.60255505,3.52976205,
CG1200,Genitourinary diseases,2002,All,Age_all,[All],12451.00000000,3.14183554,30.10662502,15.30260004,
CG1210,Nephritis and nephrosis,2002,All,Age_all,[All],10122.00000000,2.55414500,23.55639403,12.44019899,
CG1220,Benign prostatic hypertrophy,2002,All,Age_all,[All],478.00000000,0.12061661,1.65585490,0.58747432,
CG1230,Other genitourinary system diseases,2002,All,Age_all,[All],1851.00000000,0.46707394,4.89437608,2.27492673,
CG1240,Skin diseases,2002,All,Age_all,[All],1288.00000000,0.32500877,3.69094735,1.58298521,
CG1250,Musculoskeletal diseases,2002,All,Age_all,[All],2342.00000000,0.59097091,7.15591129,2.87837839,
CG1260,Rheumatoid arthritis,2002,All,Age_all,[All],483.00000000,0.12187829,1.68927290,0.59361945,
CG1270,Osteoarthritis,2002,All,Age_all,[All],332.00000000,0.08377555,1.19520332,0.40803656,
CG1280,Gout,2002,All,Age_all,[All],213.00000000,0.05374757,0.59543983,0.26178249,
CG1290,Back pain,2002,All,Age_all,[All],19.00000000,0.00479438,0.03944874,0.02335149,
CG1300,Other musculoskeletal disorders,2002,All,Age_all,[All],1295.00000000,0.32677512,3.63654650,1.59158839,
CG1310,Congenital anomalies,2002,All,Age_all,[All],3796.00000000,0.95786746,3.39640603,4.66538188,
CG1320,Abdominal wall defect,2002,All,Age_all,[All],17.00000000,0.00428971,0.01561581,0.02089344,
CG1330,Anencephaly,2002,All,Age_all,[All],20.00000000,0.00504672,0.01588607,0.02458052,
CG1340,Anorectal atresia,2002,All,Age_all,[All],38.00000000,0.00958877,0.03034161,0.04670298,
CG1350,Cleft lip,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1360,Cleft palate,2002,All,Age_all,[All],18.00000000,0.00454205,0.01424605,0.02212246,
CG1370,Oesophageal atresia,2002,All,Age_all,[All],11.00000000,0.00277570,0.00875865,0.01351928,
CG1380,Renal agenesis,2002,All,Age_all,[All],2.00000000,0.00050467,0.00375143,0.00245805,
CG1390,Down syndrome,2002,All,Age_all,[All],128.00000000,0.03229901,0.11488523,0.15731530,
CG1400,Congenital heart anomalies,2002,All,Age_all,[All],2491.00000000,0.62856898,2.21087768,3.06150323,
CG1410,Spina bifida,2002,All,Age_all,[All],32.00000000,0.00807475,0.02695138,0.03932883,
CG1420,Other Congenital anomalies,2002,All,Age_all,[All],1039.00000000,0.26217710,0.95509213,1.27695779,
CG1430,Oral conditions,2002,All,Age_all,[All],52.00000000,0.01312147,0.09845095,0.06390934,
CG1440,Dental caries,2002,All,Age_all,[All],1.00000000,0.00025234,0.00461772,0.00122903,
CG1450,Periodontal disease,2002,All,Age_all,[All],4.00000000,0.00100934,0.00854642,0.00491610,
CG1460,Edentulism,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1470,Other oral diseases,2002,All,Age_all,[All],47.00000000,0.01185979,0.08528681,0.05776421,
CG1475,Sudden infant death syndrome,2002,All,Age_all,[All],202.00000000,0.05097187,0.15977363,0.24826321,
CG1480,Injuries,2002,All,Age_all,[All],33602.00000000,8.47899429,51.84096075,41.29772439,
CG1490,Unintentional injuries,2002,All,Age_all,[All],14427.00000000,3.64045148,22.72264405,17.73115499,
CG1500,Road traffic accidents,2002,All,Age_all,[All],5839.00000000,1.47338991,9.10993470,7.17628155,
CG1510,Poisonings,2002,All,Age_all,[All],186.00000000,0.04693450,0.26787923,0.22859880,
CG1520,Falls,2002,All,Age_all,[All],1536.00000000,0.38758810,3.40761304,1.88778360,
CG1530,Fires,2002,All,Age_all,[All],531.00000000,0.13399042,0.88683782,0.65261269,
CG1540,Drownings,2002,All,Age_all,[All],2871.00000000,0.72445666,3.64225921,3.52853303,
CG1541,Exposure to mechanical forces,2002,All,Age_all,[All],309.00000000,0.07797182,0.44391701,0.37976897,
CG1542,Natural disasters,2002,All,Age_all,[All],206.00000000,0.05198122,0.28991090,0.25317931,
CG1550,Other unintentional injuries,2002,All,Age_all,[All],2949.00000000,0.74413887,4.67429213,3.62439704,
CG1560,Intentional injuries,2002,All,Age_all,[All],14666.00000000,3.70075978,21.57505991,18.02489215,
CG1570,Self-inflicted injuries,2002,All,Age_all,[All],1301.00000000,0.32828914,1.85416349,1.59896254,
CG1580,Violence,2002,All,Age_all,[All],13271.00000000,3.34875106,19.59578332,16.31040118,
CG1590,War,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1600,Other intentional injuries,2002,All,Age_all,[All],94.00000000,0.02371958,0.12511309,0.11552842,
CG1610,Ill-defined diseases,2002,All,Age_all,[All],18811.00000000,4.74669251,59.10220619,23.11920402,
CG0768,Ill-defined malignant neoplasms,2002,All,Age_all,[All],1668.00000000,0.42089645,3.94292479,2.05001501,
CG0769,Other malignant neoplasms,2002,All,Age_all,[All],2830.00000000,0.71411088,6.17307910,3.47814297,
CG0789,Diabetes mellitus and endocrine disorders,2002,All,Age_all,[All],17572.00000000,4.43404820,44.41048438,21.59644108,
CG1098,Ill-defined circulatory diseases,2002,All,Age_all,[All],19668.00000000,4.96294446,59.98260241,24.17247912,
CG1099,Other circulatory diseases,2002,All,Age_all,[All],3298.00000000,0.83220413,9.02511577,4.05332704,
CG1605,Ill-defined injuries/accidents,2002,All,Age_all,[All],4509.00000000,1.13778303,7.54325679,5.54167726,
CG0395,COVID-19,2002,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0000,All Causes,2002,Male,Age_all,[All],232530.00000000,100.00000000,1224.33841940,568.13743644,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2002,Male,Age_all,[All],56943.00000000,24.48845310,274.63357936,139.12806968,
CG0020,Infectious and parasitic diseases,2002,Male,Age_all,[All],29298.00000000,12.59966456,133.21444852,71.58341123,
CG0030,Tuberculosis,2002,Male,Age_all,[All],19293.00000000,8.29699394,100.51538710,47.13832865,
CG0040,STDs excluding HIV,2002,Male,Age_all,[All],8.00000000,0.00344042,0.02600862,0.01954629,
CG0050,Syphilis,2002,Male,Age_all,[All],4.00000000,0.00172021,0.01337139,0.00977315,
CG0060,Chlamydia,2002,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0070,Gonorrhoea,2002,Male,Age_all,[All],1.00000000,0.00043005,0.00326348,0.00244329,
CG0080,Other STDs,2002,Male,Age_all,[All],3.00000000,0.00129016,0.00937375,0.00732986,
CG0090,HIV/AIDS,2002,Male,Age_all,[All],15.00000000,0.00645078,0.04387458,0.03664930,
CG0100,Diarrhoeal diseases,2002,Male,Age_all,[All],2861.00000000,1.23037888,8.81085181,6.99024300,
CG0110,Childhood-cluster diseases,2002,Male,Age_all,[All],1430.00000000,0.61497441,3.27386146,3.49389986,
CG0120,Pertussis,2002,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0130,Poliomyelitis,2002,Male,Age_all,[All],11.00000000,0.00473057,0.02978540,0.02687615,
CG0140,Diphtheria,2002,Male,Age_all,[All],15.00000000,0.00645078,0.02396285,0.03664930,
CG0150,Measles,2002,Male,Age_all,[All],840.00000000,0.36124371,1.35704623,2.05236076,
CG0160,Tetanus,2002,Male,Age_all,[All],564.00000000,0.24254935,1.86306698,1.37801365,
CG0170,Meningitis,2002,Male,Age_all,[All],1128.00000000,0.48509870,2.52717773,2.75602730,
CG0180,Hepatitis B,2002,Male,Age_all,[All],540.00000000,0.23222810,2.05031647,1.31937477,
CG0190,Hepatitis C,2002,Male,Age_all,[All],3.00000000,0.00129016,0.01003027,0.00732986,
CG0200,Malaria,2002,Male,Age_all,[All],189.00000000,0.08127983,0.66012420,0.46178117,
CG0210,Tropical-cluster diseases,2002,Male,Age_all,[All],162.00000000,0.06966843,0.70368821,0.39581243,
CG0220,Trypanosomiasis,2002,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0230,Chagas disease,2002,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0240,Schistosomiasis,2002,Male,Age_all,[All],162.00000000,0.06966843,0.70368821,0.39581243,
CG0250,Leishmaniasis,2002,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0260,lymphatic filariasis,2002,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0270,Onchocerciasis,2002,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0280,Leprosy,2002,Male,Age_all,[All],46.00000000,0.01978239,0.22837826,0.11239118,
CG0290,Dengue,2002,Male,Age_all,[All],272.00000000,0.11697415,0.53736101,0.66457396,
CG0300,Japanese encephalitis,2002,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0310,Trachoma,2002,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0320,Intestinal nematode infections,2002,Male,Age_all,[All],26.00000000,0.01118135,0.06868008,0.06352545,
CG0330,Ascariasis,2002,Male,Age_all,[All],21.00000000,0.00903109,0.03690463,0.05130902,
CG0340,Trichuriasis,2002,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0350,Hookworm disease,2002,Male,Age_all,[All],4.00000000,0.00172021,0.03011520,0.00977315,
CG0360,Other intestinal infections,2002,Male,Age_all,[All],1.00000000,0.00043005,0.00166024,0.00244329,
CG0370,Other infectious diseases,2002,Male,Age_all,[All],3325.00000000,1.42992302,13.75870872,8.12392799,
CG0380,Respiratory infections,2002,Male,Age_all,[All],17504.00000000,7.52763084,116.98227455,42.76728890,
CG0390,Lower respiratory infections,2002,Male,Age_all,[All],17422.00000000,7.49236658,116.67137818,42.56693940,
CG0400,Upper respiratory infections,2002,Male,Age_all,[All],36.00000000,0.01548187,0.19665129,0.08795832,
CG0410,Otitis media,2002,Male,Age_all,[All],46.00000000,0.01978239,0.11424509,0.11239118,
CG0490,Perinatal conditions,2002,Male,Age_all,[All],8085.00000000,3.47697071,12.46883610,19.75397228,
CG0500,Low birth weight,2002,Male,Age_all,[All],539.00000000,0.23179805,0.83125574,1.31693149,
CG0510,Birth asphyxia and birth trauma,2002,Male,Age_all,[All],464.00000000,0.19954414,0.71558936,1.13368499,
CG0520,Other perinatal conditions,2002,Male,Age_all,[All],7082.00000000,3.04562852,10.92199100,17.30335580,
CG0530,Nutritional deficiencies,2002,Male,Age_all,[All],2056.00000000,0.88418699,11.96802020,5.02339728,
CG0540,Protein-energy malnutrition,2002,Male,Age_all,[All],1044.00000000,0.44897433,5.57978421,2.55079123,
CG0550,Iodine deficiency,2002,Male,Age_all,[All],2.00000000,0.00086010,0.00437843,0.00488657,
CG0560,Vitamin A deficiency,2002,Male,Age_all,[All],1.00000000,0.00043005,0.01292539,0.00244329,
CG0570,Iron-deficiency anaemia,2002,Male,Age_all,[All],789.00000000,0.33931106,4.61181778,1.92775314,
CG0580,Other nutritional disorders,2002,Male,Age_all,[All],220.00000000,0.09461145,1.75911439,0.53752306,
CG0590,Noncommunicable diseases,2002,Male,Age_all,[All],138727.00000000,59.65982884,797.55092822,338.94982215,
CG0600,Malignant neoplasms,2002,Male,Age_all,[All],20440.00000000,8.79026362,108.60366149,49.94077840,
CG0610,Mouth and oropharynx cancers,2002,Male,Age_all,[All],1282.00000000,0.55132671,6.77677287,3.13229344,
CG0611,a. Lip and oral cavity cancers,2002,Male,Age_all,[All],388.00000000,0.16686019,2.19863097,0.94799521,
CG0612,b. Nasopharynx cancers,2002,Male,Age_all,[All],354.00000000,0.15223842,1.58446578,0.86492346,
CG0613,c. Other pharynx cancer,2002,Male,Age_all,[All],540.00000000,0.23222810,2.99367613,1.31937477,
CG0620,Oesophagus cancer,2002,Male,Age_all,[All],278.00000000,0.11955447,1.50146677,0.67923368,
CG0630,Stomach cancer,2002,Male,Age_all,[All],927.00000000,0.39865824,5.27666307,2.26492669,
CG0640,Colon and rectum cancers,2002,Male,Age_all,[All],1430.00000000,0.61497441,8.03610160,3.49389986,
CG0650,Liver cancer,2002,Male,Age_all,[All],3481.00000000,1.49701114,17.12506019,8.50508070,
CG0660,Pancreas cancer,2002,Male,Age_all,[All],430.00000000,0.18492238,2.37332383,1.05061324,
CG0670,"Trachea, bronchus, lung cancers",2002,Male,Age_all,[All],5167.00000000,2.22207887,28.87904690,12.62446194,
CG0680,Melanoma and other skin cancers,2002,Male,Age_all,[All],154.00000000,0.06622801,0.95284931,0.37626614,
CG0681,a. Malignant skin melanoma,2002,Male,Age_all,[All],60.00000000,0.02580312,0.40215845,0.14659720,
CG0682,b. Non-melanoma skin cancer,2002,Male,Age_all,[All],94.00000000,0.04042489,0.55069086,0.22966894,
CG0690,Breast cancer,2002,Male,Age_all,[All],49.00000000,0.02107255,0.27150150,0.11972104,
CG0730,Prostate cancer,2002,Male,Age_all,[All],1274.00000000,0.54788629,10.08682454,3.11274715,
CG0731,Testicular cancer,2002,Male,Age_all,[All],71.00000000,0.03053369,0.29239379,0.17347335,
CG0732,Kidney cancer,2002,Male,Age_all,[All],260.00000000,0.11181353,1.41291624,0.63525452,
CG0740,Bladder cancer,2002,Male,Age_all,[All],187.00000000,0.08041973,1.13324371,0.45689460,
CG0741,Brain and nervous system cancers,2002,Male,Age_all,[All],570.00000000,0.24512966,2.27870803,1.39267337,
CG0742,Gallbladder and biliary tract cancer,2002,Male,Age_all,[All],72.00000000,0.03096375,0.42479608,0.17591664,
CG0743,Larynx cancer,2002,Male,Age_all,[All],282.00000000,0.12127467,1.54606368,0.68900683,
CG0744,Thyroid cancer,2002,Male,Age_all,[All],159.00000000,0.06837827,0.89376898,0.38848257,
CG0745,Mesothelioma,2002,Male,Age_all,[All],4.00000000,0.00172021,0.01610812,0.00977315,
CG0750,"Lymphomas, multiple myeloma",2002,Male,Age_all,[All],646.00000000,0.27781362,2.97398858,1.57836315,
CG0751,a. Hodgkin lymphoma,2002,Male,Age_all,[All],63.00000000,0.02709328,0.28471703,0.15392706,
CG0752,b. Non-Hodgkin lymphoma,2002,Male,Age_all,[All],518.00000000,0.22276695,2.33418981,1.26562247,
CG0753,c. Multiple myeloma,2002,Male,Age_all,[All],65.00000000,0.02795338,0.35508174,0.15881363,
CG0760,Leukaemia,2002,Male,Age_all,[All],1245.00000000,0.53541479,4.15529988,3.04189183,
CG0780,Other neoplasms,2002,Male,Age_all,[All],829.00000000,0.35651314,4.06403514,2.02548460,
CG0790,Diabetes mellitus,2002,Male,Age_all,[All],6524.00000000,2.80565948,36.98679348,15.94000187,
CG0800,Endocrine disorders,2002,Male,Age_all,[All],1559.00000000,0.67045112,7.19635903,3.80908383,
CG0810,Neuropsychiatric conditions,2002,Male,Age_all,[All],2528.00000000,1.08717155,9.58001701,6.17662856,
CG0820,Unipolar depressive disorders,2002,Male,Age_all,[All],22.00000000,0.00946114,0.09966632,0.05375231,
CG0830,Bipolar disorder,2002,Male,Age_all,[All],4.00000000,0.00172021,0.01702830,0.00977315,
CG0840,Schizophrenia,2002,Male,Age_all,[All],165.00000000,0.07095859,0.70065241,0.40314229,
CG0850,Epilepsy,2002,Male,Age_all,[All],614.00000000,0.26405195,1.59528726,1.50017798,
CG0860,Alcohol use disorders,2002,Male,Age_all,[All],464.00000000,0.19954414,1.77541242,1.13368499,
CG0870,Alzheimer and other dementias,2002,Male,Age_all,[All],239.00000000,0.10278244,1.62165354,0.58394550,
CG0880,Parkinson disease,2002,Male,Age_all,[All],109.00000000,0.04687567,0.76141017,0.26631824,
CG0890,Multiple sclerosis,2002,Male,Age_all,[All],10.00000000,0.00430052,0.03112039,0.02443287,
CG0900,Drug use disorders,2002,Male,Age_all,[All],41.00000000,0.01763213,0.11565259,0.10017475,
CG0910,Post-traumatic stress disorder,2002,Male,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
