Region Code: AS
"Region Name: Asia"
Country Code: PHL
"Country Name: Philippines"
Export date: 4/17/2026 7:42:03 AM
Source location: "WHO Mortality Database portal"
Metadata information: 

Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CG1310,Congenital anomalies,2000,All,Age_all,[All],5023.00000000,1.36892222,4.51487269,6.44042438,
CG1320,Abdominal wall defect,2000,All,Age_all,[All],49.00000000,0.01335401,0.04495376,0.06282715,
CG1330,Anencephaly,2000,All,Age_all,[All],175.00000000,0.04769289,0.14335843,0.22438269,
CG1340,Anorectal atresia,2000,All,Age_all,[All],81.00000000,0.02207500,0.06659564,0.10385713,
CG1350,Cleft lip,2000,All,Age_all,[All],3.00000000,0.00081759,0.00244743,0.00384656,
CG1360,Cleft palate,2000,All,Age_all,[All],40.00000000,0.01090123,0.03266294,0.05128747,
CG1370,Oesophageal atresia,2000,All,Age_all,[All],7.00000000,0.00190772,0.00572084,0.00897531,
CG1380,Renal agenesis,2000,All,Age_all,[All],2.00000000,0.00054506,0.00228911,0.00256437,
CG1390,Down syndrome,2000,All,Age_all,[All],115.00000000,0.03134104,0.10736736,0.14745148,
CG1400,Congenital heart anomalies,2000,All,Age_all,[All],2897.00000000,0.78952174,2.63092361,3.71449521,
CG1410,Spina bifida,2000,All,Age_all,[All],48.00000000,0.01308148,0.04155878,0.06154497,
CG1420,Other Congenital anomalies,2000,All,Age_all,[All],1606.00000000,0.43768447,1.43699477,2.05919203,
CG1430,Oral conditions,2000,All,Age_all,[All],57.00000000,0.01553426,0.10971836,0.07308465,
CG1440,Dental caries,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1450,Periodontal disease,2000,All,Age_all,[All],9.00000000,0.00245278,0.01394911,0.01153968,
CG1460,Edentulism,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1470,Other oral diseases,2000,All,Age_all,[All],48.00000000,0.01308148,0.09576925,0.06154497,
CG1475,Sudden infant death syndrome,2000,All,Age_all,[All],277.00000000,0.07549103,0.22597979,0.35516575,
CG1480,Injuries,2000,All,Age_all,[All],32345.00000000,8.81500882,52.53182958,41.47233256,
CG1490,Unintentional injuries,2000,All,Age_all,[All],14156.00000000,3.85794604,22.94021563,18.15063656,
CG1500,Road traffic accidents,2000,All,Age_all,[All],5211.00000000,1.42015801,8.66999144,6.68147550,
CG1510,Poisonings,2000,All,Age_all,[All],154.00000000,0.04196974,0.25811113,0.19745677,
CG1520,Falls,2000,All,Age_all,[All],1234.00000000,0.33630301,2.86892048,1.58221853,
CG1530,Fires,2000,All,Age_all,[All],304.00000000,0.08284936,0.48193373,0.38978479,
CG1540,Drownings,2000,All,Age_all,[All],3336.00000000,0.90916276,4.43878103,4.27737522,
CG1541,Exposure to mechanical forces,2000,All,Age_all,[All],312.00000000,0.08502961,0.46215420,0.40004229,
CG1542,Natural disasters,2000,All,Age_all,[All],510.00000000,0.13899071,0.71634409,0.65391528,
CG1550,Other unintentional injuries,2000,All,Age_all,[All],3095.00000000,0.84348283,5.04397952,3.96836819,
CG1560,Intentional injuries,2000,All,Age_all,[All],13458.00000000,3.66771954,21.08165119,17.25567017,
CG1570,Self-inflicted injuries,2000,All,Age_all,[All],1403.00000000,0.38236072,2.16925202,1.79890810,
CG1580,Violence,2000,All,Age_all,[All],11674.00000000,3.18152459,18.36274780,14.96824889,
CG1590,War,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG1600,Other intentional injuries,2000,All,Age_all,[All],381.00000000,0.10383424,0.54965137,0.48851318,
CG1610,Ill-defined diseases,2000,All,Age_all,[All],16467.00000000,4.48776473,57.29129538,21.11377030,
CG0768,Ill-defined malignant neoplasms,2000,All,Age_all,[All],1537.00000000,0.41887984,3.97522032,1.97072114,
CG0769,Other malignant neoplasms,2000,All,Age_all,[All],2852.00000000,0.77725785,6.68811139,3.65679680,
CG0789,Diabetes mellitus and endocrine disorders,2000,All,Age_all,[All],14006.00000000,3.81706642,38.22876615,17.95830854,
CG1098,Ill-defined circulatory diseases,2000,All,Age_all,[All],38017.00000000,10.36080353,117.71896102,48.74489618,
CG1099,Other circulatory diseases,2000,All,Age_all,[All],3188.00000000,0.86882820,9.19421618,4.08761157,
CG1605,Ill-defined injuries/accidents,2000,All,Age_all,[All],4731.00000000,1.28934323,8.50996276,6.06602583,
CG0395,COVID-19,2000,All,Age_all,[All],0.00000000,0.00000000,0.00000000,0.00000000,
CG0000,All Causes,2000,Male,Age_all,[All],217404.00000000,100.00000000,1207.87832790,553.46075391,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2000,Male,Age_all,[All],57388.00000000,26.39693842,287.48527052,146.09669438,
CG0020,Infectious and parasitic diseases,2000,Male,Age_all,[All],29297.00000000,13.47583301,141.50827819,74.58344698,
CG0030,Tuberculosis,2000,Male,Age_all,[All],18590.00000000,8.55090063,104.40372961,47.32587908,
CG0040,STDs excluding HIV,2000,Male,Age_all,[All],8.00000000,0.00367979,0.06538889,0.02036617,
CG0050,Syphilis,2000,Male,Age_all,[All],6.00000000,0.00275984,0.04521147,0.01527462,
