Brunei Darussalam,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Bulgaria,<500,"Children estimates were not available at the time of publication.",<500,"Children estimates were not available at the time of publication.",540,"Children estimates were not available at the time of publication.",640,"Children estimates were not available at the time of publication.",730,"Children estimates were not available at the time of publication.",840,"Children estimates were not available at the time of publication.",980,"Children estimates were not available at the time of publication.",1200,"Children estimates were not available at the time of publication.",1500,"Children estimates were not available at the time of publication.",1700,"Children estimates were not available at the time of publication.",1800,"Children estimates were not available at the time of publication.",1900,"Children estimates were not available at the time of publication.",2200,"Children estimates were not available at the time of publication.",2300,"Children estimates were not available at the time of publication.",2500,"Children estimates were not available at the time of publication."
Burkina Faso,32 000,,36 000,,39 000,,42 000,,47 000,,52 000,,57 000,,62 000,,60 000,,69 000,,63 000,,67 000,,71 000,,74 000,,77 000,
Burundi,23 000,,26 000,,29 000,,33 000,,37 000,,42 000,,51 000,,57 000,,62 000,,68 000,,69 000,,71 000,,72 000,,73 000,,74 000,
Cabo Verde,770,,890,,1100,,1300,,1500,,1500,,1600,,1900,,2200,,2400,,2600,,2800,,2800,,2900,,3100,
Cambodia,41 000,,44 000,,46 000,,48 000,,50 000,,52 000,,55 000,,57 000,,59 000,,61 000,,62 000,,63 000,,65 000,,68 000,,70 000,
Cameroon,84 000,,100 000,,120 000,,120 000,,140 000,,160 000,,190 000,,240 000,,270 000,,300 000,,340 000,,380 000,,410 000,,440 000,,450 000,
Canada,23 000,,24 000,,25 000,,33 000,,35 000,,38 000,,41 000,,43 000,,45 000,,47 000,,49 000,,49 000,,50 000,,...,,...,
Central African Republic,15 000,,14 000,,17 000,,17 000,,24 000,,27 000,,32 000,,37 000,,40 000,,47 000,,51 000,,56 000,,61 000,,64 000,,67 000,
Chad,20 000,,24 000,,27 000,,30 000,,34 000,,37 000,,41 000,,44 000,,48 000,,50 000,,55 000,,59 000,,62 000,,69 000,,79 000,
Chile,14 000,,16 000,,19 000,,22 000,,25 000,,28 000,,33 000,,39 000,,45 000,,50 000,,54 000,,57 000,,62 000,,64 000,,65 000,
China,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Colombia,23 000,,33 000,,40 000,,48 000,,55 000,,67 000,,76 000,,78 000,,92 000,,110 000,,120 000,,130 000,,140 000,,150 000,,...,
Comoros,<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<100,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication.",<200,"Children estimates were not available at the time of publication."
Congo,15 000,,17 000,,17 000,,20 000,,19 000,,21 000,,22 000,,23 000,,25 000,,26 000,,27 000,,29 000,,34 000,,38 000,,44 000,
Costa Rica,3300,,3700,,4000,,4300,,4700,,5600,,6200,,7000,,8100,,9100,,9200,,11 000,,12 000,,13 000,,13 000,
Croatia,500,"Children estimates were not available at the time of publication.",570,"Children estimates were not available at the time of publication.",630,"Children estimates were not available at the time of publication.",720,"Children estimates were not available at the time of publication.",800,"Children estimates were not available at the time of publication.",920,"Children estimates were not available at the time of publication.",1000,"Children estimates were not available at the time of publication.",1100,"Children estimates were not available at the time of publication.",1200,"Children estimates were not available at the time of publication.",1300,"Children estimates were not available at the time of publication.",1300,"Children estimates were not available at the time of publication.",1300,"Children estimates were not available at the time of publication.",1400,"Children estimates were not available at the time of publication.",1500,"Children estimates were not available at the time of publication.",1500,"Children estimates were not available at the time of publication."
Cuba,6000,,7500,,8700,,10 000,,13 000,,15 000,,17 000,,19 000,,22 000,,25 000,,25 000,,26 000,,28 000,,28 000,,29 000,
Cyprus,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Czechia,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Côte d'Ivoire,81 000,,98 000,,110 000,,120 000,,140 000,,160 000,,190 000,,230 000,,250 000,,270 000,,280 000,,290 000,,290 000,,310 000,,320 000,
Democratic People's Republic of Korea,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Democratic Republic of the Congo,44 000,,53 000,,66 000,,80 000,,100 000,,120 000,,160 000,,210 000,,210 000,,230 000,,310 000,,360 000,,400 000,,440 000,,440 000,
Denmark,3600,"Children estimates were not available at the time of publication.",3900,"Children estimates were not available at the time of publication.",4100,"Children estimates were not available at the time of publication.",4200,"Children estimates were not available at the time of publication.",4700,"Children estimates were not available at the time of publication.",4800,"Children estimates were not available at the time of publication.",4900,"Children estimates were not available at the time of publication.",5100,"Children estimates were not available at the time of publication.",5200,"Children estimates were not available at the time of publication.",5300,"Children estimates were not available at the time of publication.",5400,"Children estimates were not available at the time of publication.",5600,"Children estimates were not available at the time of publication.",5700,"Children estimates were not available at the time of publication.",5800,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
Djibouti,970,,1000,,1300,,1400,,1600,,1900,,2200,,2500,,2700,,1900,,2100,,1900,,2100,,2300,,2100,
Dominica,...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",...,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Dominican Republic,15 000,,17 000,,19 000,,21 000,,23 000,,25 000,,27 000,,30 000,,32 000,,35 000,,38 000,,43 000,,50 000,,52 000,,57 000,
Ecuador,7200,,8900,,9400,,11 000,,13 000,,15 000,,18 000,,22 000,,25 000,,31 000,,34 000,,35 000,,38 000,,41 000,,43 000,
Egypt,580,,740,,940,,1200,,1800,,2200,,3200,,4800,,6700,,8400,,10 000,,12 000,,16 000,,19 000,,25 000,
El Salvador,8500,,8900,,9300,,10 000,,11 000,,11 000,,12 000,,12 000,,12 000,,13 000,,14 000,,15 000,,15 000,,16 000,,16 000,
Equatorial Guinea,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Eritrea,4700,,5600,,6400,,7100,,7900,,8400,,8700,,8800,,8900,,8800,,9100,,8800,,8800,,8900,,8900,
Estonia,1800,"Children estimates were not available at the time of publication.",2200,"Children estimates were not available at the time of publication.",2500,"Children estimates were not available at the time of publication.",2700,"Children estimates were not available at the time of publication.",3000,"Children estimates were not available at the time of publication.",3500,"Children estimates were not available at the time of publication.",3900,"Children estimates were not available at the time of publication.",4100,"Children estimates were not available at the time of publication.",4400,"Children estimates were not available at the time of publication.",4500,"Children estimates were not available at the time of publication.",4400,"Children estimates were not available at the time of publication.",4400,"Children estimates were not available at the time of publication.",4400,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
Eswatini,61 000,,69 000,,80 000,,92 000,,110 000,,150 000,,170 000,,170 000,,180 000,,190 000,,210 000,,200 000,,200 000,,200 000,,210 000,
Ethiopia,220 000,,260 000,,290 000,,310 000,,360 000,,380 000,,420 000,,440 000,,450 000,,470 000,,480 000,,480 000,,500 000,,510 000,,530 000,
Fiji,<100,,<100,,<200,,<200,,<200,,<500,,<500,,<500,,<500,,<500,,510,,650,,570,,710,,1400,
Finland,...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
France,110 000,,110 000,,110 000,,120 000,,120 000,,130 000,,130 000,,140 000,,140 000,,150 000,,150 000,,160 000,,160 000,,...,,...,
Gabon,11 000,,14 000,,17 000,,20 000,,21 000,,22 000,,22 000,,23 000,,23 000,,24 000,,24 000,,25 000,,29 000,,30 000,,33 000,
Gambia,2000,,3100,,3800,,4000,,4400,,5000,,6100,,6800,,7500,,8200,,8300,,8700,,9600,,10 000,,11 000,
