Country,2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Brazil,68 ,62 , 72,,70 ,65 , 75,,73 ,67 , 78,,76 ,69 , 81,,78 ,71 , 83,,79 ,72 , 85,,81 ,74 , 87,,84 ,76 , 90,,86 ,78 , 93,,89 ,80 , 95,
Bulgaria,74 ,63 , 83,"Children estimates were not available at the time of publication.",77 ,65 , 86,"Children estimates were not available at the time of publication.",80 ,67 , 89,"Children estimates were not available at the time of publication.",82 ,69 , 92,"Children estimates were not available at the time of publication.",83 ,70 , 93,"Children estimates were not available at the time of publication.",84 ,71 , 94,"Children estimates were not available at the time of publication.",85 ,72 , 95,"Children estimates were not available at the time of publication.",87 ,74 , 97,"Children estimates were not available at the time of publication.",87 ,74 , 97,"Children estimates were not available at the time of publication.",88 ,74 , 97,"Children estimates were not available at the time of publication."
Burkina Faso,66 ,57 , 76,,69 ,59 , 80,,72 ,62 , 83,,74 ,63 , 84,,78 ,67 , 90,,78 ,66 , 89,,79 ,68 , 91,,81 ,70 , 94,,83 ,71 , 96,,85 ,73 , >98,
Burundi,76 ,67 , 87,,79 ,71 , 92,,82 ,73 , 95,,85 ,76 , >98,,88 ,78 , >98,,90 ,80 , >98,,91 ,81 , >98,,92 ,82 , >98,,93 ,83 , >98,,94 ,85 , >98,
Cabo Verde,52 ,46 , 62,,53 ,46 , 62,,60 ,52 , 70,,68 ,59 , 81,,71 ,62 , 84,,76 ,65 , 90,,81 ,69 , 97,,79 ,66 , 95,,77 ,63 , 93,,80 ,66 , >98,
Cambodia,69 ,61 , 78,,71 ,62 , 80,,73 ,64 , 83,,76 ,67 , 87,,80 ,69 , 91,,81 ,70 , 93,,81 ,70 , 93,,84 ,72 , 98,,88 ,74 , >98,,92 ,76 , >98,
Cameroon,50 ,46 , 54,,56 ,52 , 61,,64 ,59 , 69,,68 ,63 , 75,,72 ,66 , 79,,76 ,69 , 84,,81 ,74 , 90,,86 ,78 , 97,,90 ,82 , >98,,92 ,83 , >98,
Canada,,,,,86 ,72 , 98,,,,,,87 ,72 , >98,,,,,,89 ,73 , >98,,,,,,89 ,74 , >98,,,,,,,,,
Central African Republic,74 ,62 , 86,,73 ,60 , 85,,74 ,61 , 88,,77 ,64 , 93,,78 ,64 , 95,,80 ,65 , >98,,81 ,66 , >98,,88 ,71 , >98,,85 ,67 , >98,,85 ,66 , >98,
Chad,42 ,35 , 50,,47 ,39 , 56,,51 ,42 , 61,,54 ,45 , 65,,58 ,48 , 69,,62 ,52 , 74,,65 ,54 , 78,,68 ,56 , 81,,71 ,59 , 85,,74 ,61 , 88,
Chile,92 ,80 , >98,,93 ,81 , >98,,94 ,82 , >98,,94 ,82 , >98,,94 ,82 , >98,,94 ,83 , >98,,95 ,83 , >98,,95 ,83 , >98,,95 ,83 , >98,,95 ,83 , >98,
China,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Colombia,45 ,37 , 55,,49 ,41 , 61,,55 ,45 , 69,,60 ,49 , 75,,65 ,52 , 82,,67 ,54 , 86,,68 ,55 , 88,,76 ,61 , >98,,82 ,65 , >98,,79 ,62 , >98,
Comoros,36 ,21 , 73,"Children estimates were not available at the time of publication.",42 ,25 , 87,"Children estimates were not available at the time of publication.",46 ,28 , 97,"Children estimates were not available at the time of publication.",50 ,31 , >98,"Children estimates were not available at the time of publication.",57 ,35 , >98,"Children estimates were not available at the time of publication.",62 ,37 , >98,"Children estimates were not available at the time of publication.",64 ,38 , >98,"Children estimates were not available at the time of publication.",66 ,39 , >98,"Children estimates were not available at the time of publication.",72 ,42 , >98,"Children estimates were not available at the time of publication.",85 ,50 , >98,"Children estimates were not available at the time of publication."
Congo,32 ,27 , 37,,31 ,26 , 36,,30 ,25 , 36,,30 ,24 , 36,,29 ,23 , 36,,29 ,23 , 35,,29 ,22 , 36,,30 ,23 , 38,,32 ,24 , 41,,36 ,26 , 47,
Costa Rica,55 ,49 , 60,,56 ,51 , 62,,59 ,53 , 65,,62 ,55 , 68,,63 ,55 , 69,,63 ,55 , 69,,68 ,59 , 75,,67 ,58 , 74,,68 ,59 , 76,,69 ,59 , 76,
Croatia,69 ,58 , 78,"Children estimates were not available at the time of publication.",72 ,61 , 82,"Children estimates were not available at the time of publication.",75 ,63 , 86,"Children estimates were not available at the time of publication.",77 ,65 , 88,"Children estimates were not available at the time of publication.",80 ,66 , 90,"Children estimates were not available at the time of publication.",80 ,67 , 90,"Children estimates were not available at the time of publication.",81 ,68 , 92,"Children estimates were not available at the time of publication.",84 ,70 , 95,"Children estimates were not available at the time of publication.",85 ,72 , 97,"Children estimates were not available at the time of publication.",86 ,72 , 98,"Children estimates were not available at the time of publication."
Cuba,66 ,58 , 73,,69 ,59 , 76,,71 ,62 , 79,,73 ,64 , 82,,76 ,66 , 85,,75 ,64 , 83,,77 ,66 , 85,,78 ,67 , 87,,79 ,68 , 88,,81 ,70 , 90,
Cyprus,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Czechia,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Côte d'Ivoire,62 ,55 , 70,,65 ,59 , 74,,70 ,62 , 80,,73 ,65 , 84,,76 ,67 , 88,,78 ,70 , 91,,80 ,71 , 93,,82 ,73 , 96,,84 ,74 , >98,,85 ,75 , >98,
Democratic Republic of the Congo,35 ,31 , 42,,42 ,36 , 49,,49 ,43 , 58,,53 ,46 , 63,,57 ,49 , 67,,63 ,54 , 75,,69 ,59 , 82,,73 ,62 , 88,,77 ,64 , 92,,77 ,63 , 94,
Denmark,93 ,80 , >98,"Children estimates were not available at the time of publication.",93 ,81 , >98,"Children estimates were not available at the time of publication.",94 ,80 , >98,"Children estimates were not available at the time of publication.",94 ,80 , >98,"Children estimates were not available at the time of publication.",94 ,81 , >98,"Children estimates were not available at the time of publication.",95 ,81 , >98,"Children estimates were not available at the time of publication.",95 ,81 , >98,"Children estimates were not available at the time of publication.",95 ,81 , >98,"Children estimates were not available at the time of publication.",96 ,82 , >98,"Children estimates were not available at the time of publication.",96 ,82 , >98,"Children estimates were not available at the time of publication."
Djibouti,31 ,23 , 41,,37 ,28 , 49,,43 ,31 , 57,,47 ,34 , 63,,46 ,33 , 60,,50 ,36 , 66,,55 ,40 , 73,,60 ,44 , 81,,63 ,47 , 86,,70 ,52 , 95,
Dominica,87 ,75 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",86 ,75 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",87 ,74 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",88 ,76 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",88 ,75 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",89 ,76 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",90 ,75 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",90 ,75 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",91 ,75 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",91 ,74 , >98,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Dominican Republic,55 ,47 , 62,,61 ,52 , 70,,68 ,57 , 78,,75 ,62 , 86,,81 ,66 , 94,,78 ,63 , 91,,83 ,66 , 97,,87 ,68 , >98,,90 ,69 , >98,,92 ,69 , >98,
Ecuador,,,,,54 ,48 , 61,,66 ,59 , 74,,75 ,67 , 84,,82 ,73 , 92,,81 ,72 , 91,,82 ,73 , 92,,91 ,81 , >98,,91 ,80 , >98,,92 ,81 , >98,
Egypt,20 ,15 , 27,,24 ,18 , 32,,29 ,22 , 39,,33 ,25 , 45,,37 ,28 , 50,,41 ,31 , 56,,45 ,34 , 61,,50 ,38 , 68,,54 ,40 , 74,,59 ,44 , 82,
El Salvador,92 ,85 , >98,,93 ,85 , >98,,93 ,85 , >98,,93 ,84 , >98,,93 ,85 , >98,,93 ,84 , >98,,93 ,84 , >98,,93 ,83 , >98,,93 ,82 , >98,,93 ,82 , >98,
Equatorial Guinea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Eritrea,66 ,53 , 80,,70 ,57 , 86,,72 ,58 , 88,,75 ,61 , 90,,76 ,62 , 92,,77 ,63 , 92,,78 ,63 , 93,,78 ,63 , 93,,79 ,64 , 94,,79 ,64 , 95,
