,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Mexico,63 ,59 , 67,,76 ,71 , 81,,74 ,69 , 79,,65 ,60 , 69,,76 ,70 , 81,,77 ,72 , 82,,67 ,63 , 72,,73 ,68 , 78,,88 ,82 , 94,,70 ,65 , 75,,74 ,69 , 79,,89 ,82 , 95,,73 ,67 , 78,,77 ,71 , 83,,89 ,83 , 96,,73 ,67 , 79,,81 ,75 , 88,,91 ,84 , 98,,75 ,68 , 81,,84 ,77 , 91,,92 ,84 , >98,,77 ,70 , 84,,77 ,70 , 84,,92 ,84 , >98,,79 ,72 , 87,,70 ,63 , 77,,93 ,84 , >98,,82 ,74 , 91,,71 ,64 , 79,,93 ,84 , >98,
Mongolia,43 ,38 , 48,"Children estimates were not available at the time of publication.",77 ,69 , 87,"Children estimates were not available at the time of publication.",84 ,75 , 94,"Children estimates were not available at the time of publication.",43 ,38 , 48,"Children estimates were not available at the time of publication.",70 ,63 , 79,"Children estimates were not available at the time of publication.",96 ,85 , >98,"Children estimates were not available at the time of publication.",44 ,39 , 49,"Children estimates were not available at the time of publication.",78 ,69 , 87,"Children estimates were not available at the time of publication.",84 ,75 , 94,"Children estimates were not available at the time of publication.",46 ,41 , 52,"Children estimates were not available at the time of publication.",72 ,65 , 80,"Children estimates were not available at the time of publication.",91 ,81 , >98,"Children estimates were not available at the time of publication.",48 ,43 , 53,"Children estimates were not available at the time of publication.",76 ,68 , 84,"Children estimates were not available at the time of publication.",>98 ,90 , >98,"Children estimates were not available at the time of publication.",49 ,44 , 55,"Children estimates were not available at the time of publication.",81 ,73 , 91,"Children estimates were not available at the time of publication.",89 ,80 , >98,"Children estimates were not available at the time of publication.",49 ,44 , 55,"Children estimates were not available at the time of publication.",86 ,77 , 96,"Children estimates were not available at the time of publication.",95 ,86 , >98,"Children estimates were not available at the time of publication.",48 ,43 , 53,"Children estimates were not available at the time of publication.",84 ,76 , 94,"Children estimates were not available at the time of publication.",95 ,86 , >98,"Children estimates were not available at the time of publication.",45 ,41 , 50,"Children estimates were not available at the time of publication.",79 ,71 , 88,"Children estimates were not available at the time of publication.",>98 ,90 , >98,"Children estimates were not available at the time of publication.",45 ,40 , 50,"Children estimates were not available at the time of publication.",81 ,73 , 91,"Children estimates were not available at the time of publication.",>98 ,90 , >98,"Children estimates were not available at the time of publication."
Montenegro,,,,,,,,,,,,,,,,,,,,,>98 ,88 , >98,"Children estimates were not available at the time of publication.",40 ,35 , 46,"Children estimates were not available at the time of publication.",>98 ,88 , >98,"Children estimates were not available at the time of publication.",80 ,71 , 92,"Children estimates were not available at the time of publication.",45 ,39 , 51,"Children estimates were not available at the time of publication.",>98 ,88 , >98,"Children estimates were not available at the time of publication.",>98 ,88 , >98,"Children estimates were not available at the time of publication.",49 ,43 , 57,"Children estimates were not available at the time of publication.",>98 ,87 , >98,"Children estimates were not available at the time of publication.",>98 ,87 , >98,"Children estimates were not available at the time of publication.",50 ,43 , 59,"Children estimates were not available at the time of publication.",87 ,75 , >98,"Children estimates were not available at the time of publication.",94 ,81 , >98,"Children estimates were not available at the time of publication.",46 ,39 , 54,"Children estimates were not available at the time of publication.",86 ,74 , >98,"Children estimates were not available at the time of publication.",>98 ,86 , >98,"Children estimates were not available at the time of publication.",46 ,39 , 54,"Children estimates were not available at the time of publication.",96 ,82 , >98,"Children estimates were not available at the time of publication.",94 ,80 , >98,"Children estimates were not available at the time of publication.",62 ,52 , 74,"Children estimates were not available at the time of publication.",94 ,79 , >98,"Children estimates were not available at the time of publication.",98 ,83 , >98,"Children estimates were not available at the time of publication.",65 ,55 , 79,"Children estimates were not available at the time of publication.",>98 ,84 , >98,"Children estimates were not available at the time of publication.",97 ,81 , >98,"Children estimates were not available at the time of publication."
Morocco,69 ,63 , 77,,60 ,54 , 66,,87 ,79 , 96,,78 ,71 , 86,,59 ,54 , 65,,88 ,80 , 97,,82 ,75 , 90,,61 ,56 , 67,,89 ,81 , 98,,89 ,81 , 98,,61 ,56 , 67,,91 ,83 , >98,,91 ,83 , >98,,64 ,58 , 71,,92 ,84 , >98,,95 ,87 , >98,,66 ,60 , 72,,92 ,84 , >98,,96 ,88 , >98,,84 ,77 , 93,,95 ,87 , >98,,93 ,85 , >98,,91 ,83 , >98,,93 ,85 , >98,,95 ,86 , >98,,94 ,86 , >98,,94 ,85 , >98,,94 ,86 , >98,,>98 ,90 , >98,,95 ,86 , >98,
Mozambique,69 ,65 , 74,,68 ,64 , 73,,,,,,74 ,69 , 80,,76 ,71 , 82,,... ,... , ...,,78 ,73 , 84,,80 ,75 , 86,,... ,... , ...,,81 ,76 , 88,,77 ,72 , 84,,... ,... , ...,,83 ,77 , 89,,80 ,75 , 87,,79 ,74 , 86,,84 ,78 , 91,,81 ,75 , 87,,87 ,81 , 94,,85 ,79 , 93,,85 ,79 , 92,,90 ,83 , 98,,87 ,81 , 95,,88 ,82 , 96,,90 ,83 , 97,,89 ,82 , 97,,91 ,84 , >98,,90 ,83 , >98,,90 ,83 , >98,,94 ,86 , >98,,92 ,84 , >98,
Myanmar,42 ,37 , 48,,>98 ,88 , >98,,... ,... , ...,,50 ,44 , 57,,>98 ,87 , >98,,... ,... , ...,,56 ,49 , 66,,>98 ,86 , >98,,... ,... , ...,,63 ,53 , 74,,>98 ,85 , >98,,92 ,78 , >98,,68 ,57 , 82,,>98 ,83 , >98,,95 ,79 , >98,,72 ,59 , 87,,>98 ,82 , >98,,... ,... , ...,,69 ,56 , 84,,>98 ,88 , >98,,... ,... , ...,,75 ,59 , 91,,>98 ,79 , >98,,... ,... , ...,,77 ,60 , 95,,>98 ,78 , >98,,97 ,76 , >98,,82 ,63 , >98,,95 ,72 , >98,,97 ,74 , >98,
Namibia,89 ,83 , >98,,70 ,65 , 77,,,,,,90 ,83 , >98,,74 ,68 , 82,,,,,,92 ,85 , >98,,81 ,75 , 90,,,,,,94 ,86 , >98,,83 ,76 , 92,,,,,,95 ,87 , >98,,91 ,83 , >98,,,,,,96 ,88 , >98,,92 ,84 , >98,,,,,,96 ,88 , >98,,95 ,88 , >98,,97 ,89 , >98,,96 ,88 , >98,,97 ,89 , >98,,98 ,90 , >98,,97 ,89 , >98,,>98 ,91 , >98,,>98 ,90 , >98,,>98 ,91 , >98,,>98 ,92 , >98,,>98 ,90 , >98,
Nepal,,,,,,,,,,,,,46 ,42 , 50,,88 ,81 , 95,,,,,,50 ,46 , 55,,95 ,87 , >98,,92 ,85 , >98,,57 ,52 , 62,,92 ,85 , >98,,... ,... , ...,,63 ,57 , 68,,92 ,85 , >98,,89 ,82 , 97,,80 ,74 , 87,,77 ,71 , 84,,93 ,85 , >98,,77 ,71 , 84,,88 ,80 , 96,,... ,... , ...,,85 ,77 , 93,,86 ,78 , 94,,98 ,89 , >98,,87 ,79 , 95,,90 ,82 , >98,,>98 ,89 , >98,,96 ,86 , >98,,87 ,78 , 96,,97 ,88 , >98,
Netherlands,88 ,79 , >98,,88 ,79 , >98,,96 ,85 , >98,,88 ,78 , >98,,90 ,80 , >98,,96 ,86 , >98,,88 ,78 , >98,,91 ,80 , >98,,97 ,86 , >98,,89 ,79 , >98,,91 ,80 , >98,,97 ,85 , >98,,91 ,80 , >98,,92 ,82 , >98,,98 ,86 , >98,,91 ,79 , >98,,93 ,81 , >98,,>98 ,86 , >98,,92 ,79 , >98,,93 ,81 , >98,,98 ,85 , >98,,94 ,81 , >98,,93 ,81 , >98,,98 ,84 , >98,,95 ,81 , >98,,94 ,81 , >98,,98 ,84 , >98,,,,,,,,,,,,,
New Zealand,68 ,61 , 77,"Children estimates were not available at the time of publication.",96 ,85 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",69 ,61 , 77,"Children estimates were not available at the time of publication.",96 ,85 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",68 ,60 , 76,"Children estimates were not available at the time of publication.",96 ,85 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",70 ,62 , 78,"Children estimates were not available at the time of publication.",96 ,85 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",70 ,62 , 78,"Children estimates were not available at the time of publication.",96 ,85 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",72 ,63 , 80,"Children estimates were not available at the time of publication.",96 ,84 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",74 ,65 , 83,"Children estimates were not available at the time of publication.",96 ,84 , >98,"Children estimates were not available at the time of publication.",>98 ,86 , >98,"Children estimates were not available at the time of publication.",75 ,65 , 84,"Children estimates were not available at the time of publication.",97 ,84 , >98,"Children estimates were not available at the time of publication.",>98 ,86 , >98,"Children estimates were not available at the time of publication.",79 ,69 , 89,"Children estimates were not available at the time of publication.",97 ,84 , >98,"Children estimates were not available at the time of publication.",97 ,84 , >98,"Children estimates were not available at the time of publication.",83 ,73 , 93,"Children estimates were not available at the time of publication.",97 ,85 , >98,"Children estimates were not available at the time of publication.",,,,
Nicaragua,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Niger,69 ,63 , 78,,75 ,68 , 84,,,,,,73 ,66 , 82,,81 ,74 , 92,,,,,,77 ,70 , 87,,93 ,84 , >98,,78 ,71 , 88,,81 ,73 , 91,,97 ,88 , >98,,91 ,82 , >98,,84 ,75 , 95,,97 ,87 , >98,,74 ,66 , 83,,87 ,78 , 98,,98 ,88 , >98,,80 ,72 , 90,,88 ,79 , >98,,96 ,86 , >98,,80 ,71 , 90,,89 ,80 , >98,,94 ,84 , >98,,75 ,67 , 84,,90 ,80 , >98,,93 ,83 , >98,,75 ,67 , 85,,91 ,81 , >98,,87 ,78 , >98,,75 ,67 , 85,
Nigeria,58 ,55 , 65,,81 ,76 , 90,,,,,,63 ,59 , 70,,84 ,79 , 92,,,,,,66 ,63 , 74,,84 ,79 , 93,,,,,,69 ,65 , 76,,80 ,75 , 89,,... ,... , ...,,71 ,67 , 79,,86 ,81 , 95,,87 ,81 , 96,,74 ,69 , 82,,90 ,85 , >98,,87 ,81 , 96,,78 ,72 , 86,,94 ,87 , >98,,95 ,89 , >98,,81 ,75 , 90,,97 ,90 , >98,,96 ,89 , >98,,85 ,79 , 94,,>98 ,92 , >98,,96 ,89 , >98,,89 ,82 , >98,,>98 ,92 , >98,,96 ,88 , >98,
North Macedonia,45 ,39 , 50,"Children estimates were not available at the time of publication.",>98 ,87 , >98,"Children estimates were not available at the time of publication.",,,,,46 ,40 , 51,"Children estimates were not available at the time of publication.",>98 ,87 , >98,"Children estimates were not available at the time of publication.",,,,,47 ,41 , 53,"Children estimates were not available at the time of publication.",>98 ,87 , >98,"Children estimates were not available at the time of publication.",>98 ,87 , >98,"Children estimates were not available at the time of publication.",49 ,43 , 54,"Children estimates were not available at the time of publication.",92 ,80 , >98,"Children estimates were not available at the time of publication.",>98 ,88 , >98,"Children estimates were not available at the time of publication.",54 ,47 , 60,"Children estimates were not available at the time of publication.",86 ,76 , 96,"Children estimates were not available at the time of publication.",83 ,74 , 93,"Children estimates were not available at the time of publication.",56 ,49 , 63,"Children estimates were not available at the time of publication.",93 ,82 , >98,"Children estimates were not available at the time of publication.",93 ,82 , >98,"Children estimates were not available at the time of publication.",51 ,45 , 58,"Children estimates were not available at the time of publication.",86 ,76 , >98,"Children estimates were not available at the time of publication.",95 ,84 , >98,"Children estimates were not available at the time of publication.",59 ,51 , 68,"Children estimates were not available at the time of publication.",71 ,62 , 82,"Children estimates were not available at the time of publication.",96 ,83 , >98,"Children estimates were not available at the time of publication.",66 ,56 , 76,"Children estimates were not available at the time of publication.",67 ,57 , 77,"Children estimates were not available at the time of publication.",>98 ,85 , >98,"Children estimates were not available at the time of publication.",68 ,57 , 80,"Children estimates were not available at the time of publication.",71 ,59 , 83,"Children estimates were not available at the time of publication.",>98 ,84 , >98,"Children estimates were not available at the time of publication."
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,"Children estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Children estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Children estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,,,,,,,,
Oman,87 ,81 , 94,"Children estimates were not available at the time of publication.",61 ,57 , 67,"Children estimates were not available at the time of publication.",79 ,74 , 86,"Children estimates were not available at the time of publication.",80 ,74 , 86,"Children estimates were not available at the time of publication.",73 ,68 , 79,"Children estimates were not available at the time of publication.",86 ,79 , 93,"Children estimates were not available at the time of publication.",79 ,73 , 86,"Children estimates were not available at the time of publication.",79 ,73 , 86,"Children estimates were not available at the time of publication.",84 ,78 , 91,"Children estimates were not available at the time of publication.",76 ,71 , 83,"Children estimates were not available at the time of publication.",87 ,80 , 94,"Children estimates were not available at the time of publication.",89 ,83 , 96,"Children estimates were not available at the time of publication.",79 ,73 , 85,"Children estimates were not available at the time of publication.",90 ,83 , 97,"Children estimates were not available at the time of publication.",93 ,86 , >98,"Children estimates were not available at the time of publication.",81 ,75 , 88,"Children estimates were not available at the time of publication.",80 ,75 , 88,"Children estimates were not available at the time of publication.",93 ,86 , >98,"Children estimates were not available at the time of publication.",84 ,77 , 91,"Children estimates were not available at the time of publication.",84 ,78 , 91,"Children estimates were not available at the time of publication.",91 ,84 , >98,"Children estimates were not available at the time of publication.",81 ,75 , 88,"Children estimates were not available at the time of publication.",86 ,80 , 94,"Children estimates were not available at the time of publication.",93 ,86 , >98,"Children estimates were not available at the time of publication.",83 ,77 , 91,"Children estimates were not available at the time of publication.",88 ,81 , 97,"Children estimates were not available at the time of publication.",93 ,85 , >98,"Children estimates were not available at the time of publication.",85 ,79 , 94,"Children estimates were not available at the time of publication.",90 ,82 , >98,"Children estimates were not available at the time of publication.",94 ,87 , >98,"Children estimates were not available at the time of publication."
Pakistan,13 ,12 , 14,,47 ,42 , 51,,,,,,15 ,13 , 16,,46 ,41 , 50,,,,,,16 ,15 , 18,,49 ,44 , 53,,... ,... , ...,,14 ,13 , 15,,68 ,61 , 74,,... ,... , ...,,17 ,16 , 19,,73 ,66 , 79,,... ,... , ...,,18 ,17 , 20,,72 ,65 , 77,,... ,... , ...,,20 ,18 , 21,,76 ,69 , 82,,... ,... , ...,,21 ,19 , 23,,78 ,70 , 83,,... ,... , ...,,24 ,22 , 26,,81 ,74 , 88,,75 ,68 , 81,,26 ,24 , 28,,92 ,83 , >98,,44 ,40 , 48,
Panama,69 ,64 , 75,,63 ,59 , 68,,,,,,71 ,65 , 76,,72 ,66 , 77,,,,,,71 ,66 , 77,,78 ,72 , 84,,,,,,67 ,62 , 73,,67 ,61 , 72,,83 ,77 , 90,,72 ,66 , 78,,63 ,57 , 68,,,,,,74 ,67 , 80,,59 ,54 , 64,,>98 ,90 , >98,,74 ,67 , 80,,58 ,53 , 63,,81 ,74 , 88,,77 ,69 , 83,,71 ,64 , 77,,89 ,81 , 97,,74 ,67 , 81,,75 ,68 , 82,,91 ,82 , >98,,... ,... , ...,,... ,... , ...,,92 ,82 , >98,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,,46 ,41 , 52,,89 ,80 , >98,,... ,... , ...,,47 ,42 , 53,,92 ,82 , >98,,... ,... , ...,,49 ,44 , 56,,88 ,78 , >98,,... ,... , ...,,52 ,47 , 60,,88 ,79 , >98,,92 ,82 , >98,,57 ,51 , 66,,85 ,76 , 98,,91 ,82 , >98,,63 ,56 , 73,,80 ,71 , 92,,... ,... , ...,
Paraguay,75 ,70 , 79,,51 ,48 , 54,,,,,,78 ,73 , 83,,55 ,52 , 58,,,,,,80 ,75 , 85,,58 ,54 , 62,,,,,,81 ,76 , 86,,59 ,55 , 62,,,,,,83 ,78 , 88,,61 ,57 , 64,,,,,,83 ,78 , 88,,58 ,54 , 61,,... ,... , ...,,85 ,79 , 91,,59 ,55 , 63,,... ,... , ...,,87 ,80 , 92,,62 ,57 , 66,,89 ,82 , 95,,87 ,80 , 93,,63 ,58 , 67,,83 ,76 , 89,,88 ,81 , 94,,62 ,57 , 66,,86 ,79 , 91,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,75 ,65 , 90,,88 ,77 , >98,,78 ,68 , 94,,77 ,67 , 91,,88 ,77 , >98,,79 ,69 , 94,,80 ,69 , 93,,89 ,78 , >98,,78 ,68 , 91,,82 ,71 , 95,,85 ,73 , >98,,... ,... , ...,,85 ,73 , >98,,87 ,75 , >98,,79 ,68 , 92,,88 ,75 , >98,,92 ,78 , >98,,74 ,63 , 86,,92 ,78 , >98,,87 ,74 , >98,,86 ,73 , >98,,93 ,78 , >98,,93 ,78 , >98,,82 ,69 , 96,
Philippines,,,,,,,,,,,,,58 ,49 , 67,,22 ,19 , 26,,... ,... , ...,,58 ,49 , 68,,25 ,21 , 29,,... ,... , ...,,59 ,49 , 68,,28 ,24 , 33,,... ,... , ...,,59 ,50 , 68,,32 ,27 , 37,,... ,... , ...,,55 ,46 , 63,,38 ,32 , 44,,... ,... , ...,,51 ,43 , 59,,41 ,34 , 47,,... ,... , ...,,50 ,41 , 57,,43 ,36 , 50,,... ,... , ...,,49 ,41 , 57,,42 ,36 , 49,,... ,... , ...,,48 ,41 , 56,,44 ,37 , 51,,94 ,80 , >98,
Poland,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,86 ,78 , 96,,88 ,79 , 97,,94 ,84 , >98,,,,,,,,,,,,,,90 ,80 , >98,,... ,... , ...,,,,,,91 ,81 , >98,,... ,... , ...,,,,,,,,,,,,,,,,,,93 ,83 , >98,,... ,... , ...,,,,,,95 ,83 , >98,,... ,... , ...,,,,,,97 ,85 , >98,,... ,... , ...,,,,,,,,,,,,,,,,,
Qatar,89 ,68 , >98,"Children estimates were not available at the time of publication.",>98 ,>98 , >98,"Children estimates were not available at the time of publication.",81 ,62 , >98,"Children estimates were not available at the time of publication.",87 ,69 , >98,"Children estimates were not available at the time of publication.",>98 ,88 , >98,"Children estimates were not available at the time of publication.",66 ,52 , 82,"Children estimates were not available at the time of publication.",83 ,65 , 98,"Children estimates were not available at the time of publication.",>98 ,78 , >98,"Children estimates were not available at the time of publication.",66 ,51 , 78,"Children estimates were not available at the time of publication.",76 ,60 , 88,"Children estimates were not available at the time of publication.",>98 ,79 , >98,"Children estimates were not available at the time of publication.",87 ,69 , >98,"Children estimates were not available at the time of publication.",72 ,56 , 82,"Children estimates were not available at the time of publication.",>98 ,78 , >98,"Children estimates were not available at the time of publication.",88 ,68 , >98,"Children estimates were not available at the time of publication.",65 ,51 , 74,"Children estimates were not available at the time of publication.",96 ,75 , >98,"Children estimates were not available at the time of publication.",87 ,68 , >98,"Children estimates were not available at the time of publication.",66 ,52 , 77,"Children estimates were not available at the time of publication.",93 ,73 , >98,"Children estimates were not available at the time of publication.",79 ,63 , 91,"Children estimates were not available at the time of publication.",65 ,51 , 75,"Children estimates were not available at the time of publication.",84 ,66 , 97,"Children estimates were not available at the time of publication.",>98 ,77 , >98,"Children estimates were not available at the time of publication.",67 ,53 , 78,"Children estimates were not available at the time of publication.",68 ,53 , 78,"Children estimates were not available at the time of publication.",>98 ,77 , >98,"Children estimates were not available at the time of publication.",71 ,56 , 84,"Children estimates were not available at the time of publication.",60 ,48 , 71,"Children estimates were not available at the time of publication.",>98 ,78 , >98,"Children estimates were not available at the time of publication."
Republic of Korea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,
Republic of Moldova,54 ,45 , 63,,56 ,47 , 66,,,,,,58 ,48 , 68,,61 ,51 , 72,,,,,,62 ,52 , 73,,65 ,54 , 76,,71 ,60 , 84,,66 ,55 , 77,,68 ,57 , 80,,82 ,69 , 97,,67 ,56 , 79,,73 ,61 , 86,,85 ,71 , >98,,68 ,57 , 80,,73 ,61 , 86,,88 ,74 , >98,,71 ,60 , 84,,75 ,63 , 88,,91 ,76 , >98,,74 ,62 , 88,,76 ,64 , 90,,91 ,76 , >98,,78 ,65 , 92,,77 ,65 , 91,,93 ,78 , >98,,82 ,68 , 96,,76 ,64 , 90,,92 ,77 , >98,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 ,86 , >98,,,,,,,,,,88 ,79 , 96,,,,,,,,,,84 ,75 , 92,,,,,,,,,,90 ,80 , >98,,,,,,,,,,88 ,78 , 96,,,,,,,,,,89 ,78 , 98,,92 ,80 , >98,,93 ,81 , >98,,90 ,78 , >98,,94 ,81 , >98,,97 ,84 , >98,,92 ,80 , >98,
Russian Federation,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,
Rwanda,92 ,86 , >98,,73 ,69 , 82,,,,,,93 ,87 , >98,,80 ,75 , 90,,92 ,86 , >98,,93 ,87 , >98,,83 ,77 , 93,,92 ,86 , >98,,94 ,88 , >98,,85 ,79 , 96,,93 ,86 , >98,,95 ,88 , >98,,86 ,80 , >98,,92 ,85 , >98,,95 ,89 , >98,,89 ,83 , >98,,96 ,89 , >98,,95 ,88 , >98,,92 ,86 , >98,,98 ,91 , >98,,96 ,89 , >98,,95 ,88 , >98,,98 ,91 , >98,,96 ,89 , >98,,97 ,90 , >98,,>98 ,91 , >98,,97 ,90 , >98,,>98 ,92 , >98,,98 ,90 , >98,
