,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Madagascar,<1 ,<1 , <1,,83 ,65 , >98,,,,,,2 ,1 , 2,,92 ,74 , >98,,,,,,2 ,2 , 2,,92 ,74 , >98,,,,,,3 ,2 , 4,,93 ,74 , >98,,... ,... , ...,,5 ,4 , 6,,94 ,75 , >98,,... ,... , ...,,5 ,4 , 6,,91 ,72 , >98,,... ,... , ...,,7 ,6 , 9,,93 ,75 , >98,,... ,... , ...,,9 ,7 , 12,,92 ,73 , >98,,... ,... , ...,,7 ,5 , 9,,87 ,68 , >98,,... ,... , ...,,17 ,13 , 22,,95 ,73 , >98,,... ,... , ...,
Malawi,36 ,32 , 39,,87 ,77 , 95,,... ,... , ...,,44 ,38 , 48,,87 ,76 , 95,,... ,... , ...,,52 ,46 , 58,,87 ,76 , 96,,... ,... , ...,,57 ,50 , 63,,86 ,75 , 95,,... ,... , ...,,65 ,56 , 72,,86 ,74 , 95,,69 ,59 , 76,,70 ,60 , 78,,85 ,72 , 94,,79 ,68 , 88,,70 ,59 , 78,,83 ,71 , 94,,81 ,69 , 91,,71 ,60 , 81,,82 ,69 , 93,,84 ,71 , 96,,74 ,61 , 84,,79 ,65 , 90,,84 ,69 , 95,,76 ,63 , 87,,77 ,63 , 88,,84 ,69 , 96,
Malaysia,93 ,77 , >98,,75 ,61 , 90,,,,,,90 ,73 , >98,,77 ,63 , 92,,,,,,85 ,69 , >98,,80 ,65 , 95,,... ,... , ...,,91 ,73 , >98,,75 ,60 , 89,,,,,,87 ,69 , >98,,80 ,64 , 96,,... ,... , ...,,97 ,76 , >98,,83 ,65 , >98,,77 ,61 , 92,,>98 ,82 , >98,,75 ,58 , 90,,64 ,50 , 77,,82 ,64 , >98,,98 ,76 , >98,,80 ,62 , 97,,86 ,67 , >98,,94 ,73 , >98,,87 ,67 , >98,,94 ,72 , >98,,>98 ,76 , >98,,80 ,61 , 98,
Mali,24 ,20 , 31,,>98 ,82 , >98,,... ,... , ...,,27 ,22 , 34,,97 ,80 , >98,,... ,... , ...,,29 ,24 , 38,,96 ,80 , >98,,... ,... , ...,,34 ,28 , 45,,96 ,78 , >98,,... ,... , ...,,25 ,20 , 33,,97 ,79 , >98,,... ,... , ...,,42 ,35 , 56,,63 ,52 , 83,,... ,... , ...,,41 ,33 , 55,,93 ,75 , >98,,... ,... , ...,,44 ,36 , 59,,>98 ,81 , >98,,... ,... , ...,,54 ,43 , 72,,98 ,78 , >98,,... ,... , ...,,72 ,57 , 97,,77 ,61 , >98,,... ,... , ...,
Malta,,,,,,,,,,,,,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,79 , >98,"Children estimates were not available at the time of publication.",>98 ,79 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,80 , >98,"Children estimates were not available at the time of publication.",>98 ,80 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,79 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,76 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,77 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",50 ,38 , 65,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",50 ,37 , 66,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",50 ,38 , 65,"Children estimates were not available at the time of publication.",,,,,,,,,,,,,,,,
Mauritania,19 ,16 , 22,,93 ,77 , >98,,,,,,21 ,18 , 25,,90 ,75 , >98,,,,,,23 ,19 , 27,,88 ,73 , >98,,... ,... , ...,,26 ,22 , 32,,87 ,71 , >98,,... ,... , ...,,27 ,22 , 33,,84 ,69 , >98,,... ,... , ...,,29 ,23 , 35,,82 ,68 , >98,,... ,... , ...,,29 ,24 , 36,,81 ,66 , >98,,... ,... , ...,,30 ,24 , 38,,79 ,63 , >98,,... ,... , ...,,34 ,26 , 44,,80 ,62 , >98,,... ,... , ...,,36 ,27 , 46,,84 ,63 , >98,,... ,... , ...,
Mauritius,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,
Mexico,76 ,69 , 82,,>98 ,92 , >98,,67 ,62 , 73,,71 ,65 , 78,,>98 ,92 , >98,,71 ,65 , 78,,68 ,62 , 74,,>98 ,91 , >98,,80 ,73 , 87,,67 ,61 , 74,,95 ,87 , >98,,82 ,75 , 90,,67 ,60 , 73,,96 ,87 , >98,,85 ,77 , 93,,62 ,56 , 68,,>98 ,90 , >98,,85 ,77 , 93,,62 ,56 , 69,,>98 ,90 , >98,,86 ,77 , 94,,62 ,55 , 69,,96 ,85 , >98,,86 ,77 , 96,,63 ,55 , 70,,94 ,82 , >98,,84 ,74 , 94,,65 ,56 , 73,,>98 ,86 , >98,,82 ,71 , 93,
Montenegro,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,97 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,96 , >98,"Children estimates were not available at the time of publication.",>98 ,96 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",50 ,47 , 53,"Children estimates were not available at the time of publication.",>98 ,95 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",<1 ,<1 , <1,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",<1 ,<1 , <1,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",<1 ,<1 , <1,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",<1 ,<1 , <1,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",<1 ,<1 , <1,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",<1 ,<1 , <1,"Children estimates were not available at the time of publication.",,,,,,,,,,,,,,,,
Morocco,45 ,41 , 50,,91 ,83 , >98,,87 ,80 , 96,,50 ,46 , 55,,91 ,83 , >98,,88 ,80 , 97,,55 ,50 , 61,,90 ,82 , >98,,89 ,81 , 98,,60 ,55 , 67,,90 ,82 , >98,,91 ,83 , >98,,69 ,63 , 76,,91 ,82 , >98,,92 ,84 , >98,,77 ,70 , 85,,91 ,83 , >98,,92 ,84 , >98,,81 ,73 , 89,,92 ,83 , >98,,95 ,86 , >98,,79 ,72 , 87,,92 ,84 , >98,,93 ,85 , >98,,83 ,76 , 92,,93 ,84 , >98,,94 ,85 , >98,,96 ,87 , >98,,92 ,83 , >98,,95 ,86 , >98,
Mozambique,37 ,32 , 40,,91 ,78 , >98,,,,,,43 ,37 , 47,,91 ,78 , >98,,... ,... , ...,,45 ,39 , 49,,>98 ,85 , >98,,... ,... , ...,,47 ,40 , 51,,96 ,83 , >98,,... ,... , ...,,49 ,42 , 54,,>98 ,87 , >98,,46 ,39 , 50,,50 ,43 , 55,,86 ,74 , 94,,62 ,53 , 68,,54 ,46 , 59,,86 ,73 , 95,,64 ,54 , 71,,57 ,48 , 64,,86 ,73 , 96,,71 ,60 , 79,,61 ,51 , 68,,86 ,73 , 97,,76 ,64 , 85,,64 ,55 , 73,,86 ,73 , >98,,79 ,67 , 90,
Myanmar,79 ,68 , 91,,>98 ,86 , >98,,... ,... , ...,,82 ,70 , 94,,>98 ,86 , >98,,... ,... , ...,,85 ,73 , >98,,>98 ,86 , >98,,... ,... , ...,,87 ,75 , >98,,>98 ,86 , >98,,83 ,71 , 96,,88 ,76 , >98,,>98 ,86 , >98,,85 ,73 , >98,,86 ,74 , >98,,>98 ,86 , >98,,... ,... , ...,,70 ,60 , 82,,>98 ,85 , >98,,... ,... , ...,,69 ,58 , 81,,95 ,80 , >98,,... ,... , ...,,66 ,55 , 78,,91 ,76 , >98,,87 ,73 , >98,,66 ,56 , 78,,89 ,74 , >98,,87 ,73 , >98,
Namibia,64 ,54 , 72,,86 ,73 , 96,,,,,,64 ,54 , 72,,84 ,70 , 94,,,,,,66 ,55 , 75,,83 ,69 , 93,,,,,,71 ,59 , 80,,81 ,68 , 92,,,,,,73 ,61 , 84,,80 ,66 , 92,,,,,,71 ,59 , 81,,78 ,65 , 89,,,,,,75 ,62 , 85,,79 ,65 , 90,,89 ,74 , >98,,78 ,64 , 91,,76 ,62 , 88,,93 ,77 , >98,,75 ,62 , 89,,75 ,62 , 89,,95 ,79 , >98,,81 ,66 , 96,,75 ,61 , 89,,94 ,77 , >98,
Nepal,,,,,,,,,,,,,44 ,38 , 50,,>98 ,>98 , >98,,,,,,67 ,59 , 76,,>98 ,>98 , >98,,74 ,65 , 85,,87 ,76 , >98,,>98 ,90 , >98,,... ,... , ...,,81 ,71 , 92,,>98 ,>98 , >98,,71 ,63 , 81,,90 ,79 , >98,,98 ,86 , >98,,77 ,68 , 88,,92 ,80 , >98,,94 ,82 , >98,,... ,... , ...,,93 ,80 , >98,,96 ,82 , >98,,89 ,76 , >98,,92 ,79 , >98,,90 ,76 , >98,,87 ,75 , >98,,92 ,78 , >98,,88 ,75 , >98,,89 ,76 , >98,
Netherlands,90 ,85 , 95,,>98 ,93 , >98,,>98 ,94 , >98,,90 ,85 , 95,,>98 ,94 , >98,,>98 ,95 , >98,,87 ,83 , 92,,>98 ,94 , >98,,>98 ,93 , >98,,88 ,83 , 93,,>98 ,93 , >98,,>98 ,94 , >98,,90 ,85 , 95,,>98 ,93 , >98,,>98 ,95 , >98,,89 ,84 , 94,,98 ,92 , >98,,>98 ,94 , >98,,86 ,81 , 91,,97 ,91 , >98,,>98 ,94 , >98,,86 ,80 , 92,,97 ,90 , >98,,>98 ,93 , >98,,83 ,77 , 90,,95 ,87 , >98,,>98 ,92 , >98,,... ,... , ...,,... ,... , ...,,,,,
New Zealand,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,95 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",96 ,90 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,92 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,90 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",86 ,77 , 96,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",96 ,86 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,87 , >98,"Children estimates were not available at the time of publication.",>98 ,88 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,86 , >98,"Children estimates were not available at the time of publication.",>98 ,88 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,88 , >98,"Children estimates were not available at the time of publication.",>98 ,88 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,88 , >98,"Children estimates were not available at the time of publication.",,,,
Nicaragua,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Niger,22 ,19 , 25,,89 ,77 , >98,,,,,,24 ,20 , 28,,86 ,74 , >98,,,,,,31 ,26 , 36,,88 ,75 , >98,,88 ,75 , >98,,38 ,33 , 46,,88 ,75 , >98,,91 ,78 , >98,,39 ,33 , 47,,87 ,73 , >98,,70 ,60 , 84,,36 ,30 , 43,,84 ,71 , >98,,62 ,52 , 74,,46 ,39 , 55,,87 ,73 , >98,,62 ,52 , 74,,50 ,42 , 61,,86 ,71 , >98,,75 ,62 , 90,,46 ,38 , 55,,85 ,69 , >98,,75 ,61 , 90,,46 ,38 , 55,,84 ,69 , >98,,... ,... , ...,
Nigeria,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
North Macedonia,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,72 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,83 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,90 , >98,"Children estimates were not available at the time of publication.",>98 ,90 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,90 , >98,"Children estimates were not available at the time of publication.",>98 ,90 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,87 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,86 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,86 , >98,"Children estimates were not available at the time of publication.",>98 ,86 , >98,"Children estimates were not available at the time of publication.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,
Oman,... ,... , ...,"Children estimates were not available at the time of publication.",91 ,82 , >98,"Children estimates were not available at the time of publication.",68 ,61 , 76,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",91 ,81 , >98,"Children estimates were not available at the time of publication.",66 ,58 , 74,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",92 ,81 , >98,"Children estimates were not available at the time of publication.",52 ,46 , 59,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",92 ,81 , >98,"Children estimates were not available at the time of publication.",54 ,48 , 62,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",93 ,81 , >98,"Children estimates were not available at the time of publication.",70 ,61 , 80,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",89 ,78 , >98,"Children estimates were not available at the time of publication.",75 ,66 , 86,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",88 ,77 , >98,"Children estimates were not available at the time of publication.",73 ,63 , 84,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",84 ,72 , 98,"Children estimates were not available at the time of publication.",72 ,63 , 85,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",77 ,67 , 91,"Children estimates were not available at the time of publication.",77 ,67 , 91,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",85 ,72 , >98,"Children estimates were not available at the time of publication.",70 ,59 , 83,"Children estimates were not available at the time of publication."
Pakistan,9 ,8 , 10,,>98 ,87 , >98,,,,,,9 ,8 , 11,,>98 ,87 , >98,,,,,,11 ,10 , 12,,>98 ,87 , >98,,... ,... , ...,,13 ,12 , 15,,>98 ,87 , >98,,... ,... , ...,,31 ,28 , 35,,>98 ,89 , >98,,... ,... , ...,,30 ,27 , 33,,>98 ,90 , >98,,... ,... , ...,,32 ,29 , 36,,>98 ,90 , >98,,... ,... , ...,,32 ,29 , 35,,>98 ,90 , >98,,... ,... , ...,,37 ,34 , 40,,>98 ,90 , >98,,67 ,60 , 73,,38 ,34 , 41,,>98 ,90 , >98,,38 ,34 , 41,
Panama,69 ,62 , 78,,91 ,82 , >98,,,,,,74 ,66 , 84,,90 ,80 , >98,,,,,,63 ,56 , 71,,87 ,77 , >98,,,,,,68 ,60 , 78,,91 ,80 , >98,,74 ,65 , 84,,73 ,64 , 83,,88 ,78 , >98,,,,,,66 ,57 , 75,,88 ,77 , >98,,>98 ,88 , >98,,66 ,58 , 75,,89 ,78 , >98,,67 ,59 , 77,,70 ,62 , 80,,88 ,77 , >98,,76 ,67 , 87,,73 ,64 , 82,,87 ,77 , >98,,88 ,77 , >98,,... ,... , ...,,... ,... , ...,,82 ,72 , 94,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,,13 ,10 , 14,,>98 ,83 , >98,,... ,... , ...,,13 ,11 , 15,,>98 ,84 , >98,,... ,... , ...,,15 ,13 , 18,,>98 ,83 , >98,,... ,... , ...,,16 ,13 , 18,,>98 ,84 , >98,,... ,... , ...,,16 ,13 , 18,,>98 ,83 , >98,,... ,... , ...,,18 ,15 , 21,,90 ,75 , >98,,... ,... , ...,
Paraguay,64 ,58 , 70,,91 ,83 , >98,,,,,,66 ,60 , 73,,86 ,78 , 95,,,,,,66 ,60 , 72,,84 ,76 , 92,,,,,,61 ,55 , 67,,82 ,74 , 91,,,,,,60 ,55 , 68,,80 ,73 , 90,,,,,,52 ,47 , 58,,74 ,67 , 83,,... ,... , ...,,49 ,44 , 55,,73 ,65 , 83,,... ,... , ...,,56 ,50 , 64,,68 ,60 , 77,,62 ,55 , 70,,60 ,53 , 67,,65 ,57 , 73,,66 ,59 , 75,,53 ,47 , 60,,68 ,60 , 77,,76 ,67 , 86,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,53 ,45 , 62,,82 ,70 , 97,,66 ,56 , 78,,57 ,49 , 68,,81 ,69 , 96,,... ,... , ...,,64 ,54 , 76,,80 ,68 , 95,,67 ,57 , 80,,71 ,60 , 84,,71 ,60 , 84,,... ,... , ...,,78 ,66 , 92,,67 ,57 , 79,,68 ,57 , 81,,87 ,73 , >98,,70 ,58 , 83,,59 ,49 , 70,,97 ,80 , >98,,67 ,55 , 80,,75 ,61 , 90,,>98 ,85 , >98,,56 ,45 , 67,,75 ,61 , 90,
Philippines,,,,,,,,,,,,,14 ,11 , 17,,70 ,57 , 84,,... ,... , ...,,18 ,14 , 21,,71 ,58 , 86,,... ,... , ...,,19 ,15 , 23,,73 ,59 , 88,,... ,... , ...,,21 ,17 , 25,,84 ,68 , >98,,... ,... , ...,,21 ,17 , 26,,73 ,59 , 88,,... ,... , ...,,21 ,17 , 25,,78 ,63 , 94,,... ,... , ...,,22 ,17 , 26,,78 ,63 , 94,,... ,... , ...,,26 ,21 , 31,,67 ,54 , 82,,... ,... , ...,,26 ,21 , 31,,67 ,54 , 81,,... ,... , ...,
Poland,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,
Portugal,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,,,,,... ,... , ...,,... ,... , ...,,,,,
Qatar,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,65 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,72 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,75 , >98,"Children estimates were not available at the time of publication.",>98 ,75 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,78 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,80 , >98,"Children estimates were not available at the time of publication.",,,,,... ,... , ...,"Children estimates were not available at the time of publication.",>98 ,78 , >98,"Children estimates were not available at the time of publication.",>98 ,78 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",91 ,70 , >98,"Children estimates were not available at the time of publication.",>98 ,77 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",91 ,69 , >98,"Children estimates were not available at the time of publication.",>98 ,76 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",75 ,55 , 89,"Children estimates were not available at the time of publication.",>98 ,74 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",78 ,56 , 94,"Children estimates were not available at the time of publication.",>98 ,72 , >98,"Children estimates were not available at the time of publication."
