Country,2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Côte d'Ivoire,,,,,,,,,,,,,44 ,39 , 51,,49 ,44 , 57,,54 ,48 , 62,,58 ,51 , 67,,61 ,54 , 71,,65 ,57 , 76,,69 ,61 , 82,
Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,,,... ,... , ...,,55 ,47 , 65,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Denmark,,,,,,,,,82 ,70 , 91,"Children estimates were not available at the time of publication.",83 ,71 , 93,"Children estimates were not available at the time of publication.",85 ,73 , 95,"Children estimates were not available at the time of publication.",86 ,73 , 97,"Children estimates were not available at the time of publication.",88 ,75 , >98,"Children estimates were not available at the time of publication.",89 ,76 , >98,"Children estimates were not available at the time of publication.",91 ,78 , >98,"Children estimates were not available at the time of publication.",,,,
Djibouti,,,,,12 ,9 , 15,,13 ,10 , 18,,19 ,14 , 25,,12 ,8 , 15,,13 ,9 , 17,,14 ,10 , 18,,17 ,12 , 22,,19 ,14 , 26,,16 ,12 , 22,
Dominica,,,,,15 ,13 , 17,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",17 ,14 , 19,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",25 ,21 , 29,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",48 ,41 , 56,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",,,,,53 ,45 , 63,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",46 ,38 , 55,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",37 ,30 , 44,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",57 ,47 , 70,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Dominican Republic,,,,,,,,,25 ,21 , 28,,39 ,33 , 45,,37 ,31 , 43,,46 ,37 , 54,,46 ,36 , 54,,50 ,39 , 58,,54 ,41 , 63,,64 ,48 , 75,
Ecuador,,,,,,,,,,,,,50 ,45 , 56,,50 ,45 , 57,,64 ,57 , 72,,63 ,56 , 71,,62 ,55 , 70,,72 ,63 , 82,,75 ,66 , 86,
Egypt,,,,,,,,,,,,,,,,,,,,,... ,... , ...,,... ,... , ...,,28 ,21 , 37,,33 ,24 , 45,,36 ,26 , 49,
El Salvador,52 ,48 , 56,,49 ,44 , 52,,51 ,47 , 55,,53 ,48 , 57,,63 ,57 , 68,,62 ,56 , 68,,68 ,61 , 75,,70 ,62 , 77,,66 ,58 , 72,,72 ,64 , 79,
Eritrea,,,,,,,,,,,,,52 ,42 , 63,,58 ,47 , 69,,63 ,51 , 75,,60 ,49 , 72,,63 ,51 , 76,,67 ,54 , 80,,69 ,56 , 83,
