Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2020,2020_lower, 2020_upper, 2021,2021_lower, 2021_upper, 2022,2022_lower, 2022_upper, 2023,2023_lower, 2023_upper, 2024,2024_lower, 2024_upper
Congo,6 ,5 , 8,3 ,3 , 4,5 ,4 , 6,4 ,4 , 6,<1 ,<1 , <1,,,,2 ,2 , 3,4 ,3 , 5,1 ,1 , 2,,,,<1 ,<1 , 1,,,,5 ,4 , 7,,,,,,
Costa Rica,45 ,41 , 49,41 ,37 , 45,57 ,52 , 64,43 ,39 , 48,51 ,46 , 56,53 ,48 , 59,44 ,40 , 49,53 ,48 , 60,35 ,32 , 39,49 ,45 , 55,46 ,41 , 51,,,,,,,,,,,,
Cuba,46 ,41 , 52,58 ,52 , 67,66 ,59 , 76,64 ,57 , 74,55 ,49 , 61,83 ,74 , 94,79 ,71 , 88,80 ,72 , 90,96 ,86 , >98,97 ,88 , >98,>98 ,94 , >98,>98 ,89 , >98,>98 ,94 , >98,>98 ,>98 , >98,89 ,80 , >98
Czechia,,,,27 ,25 , 31,76 ,67 , 86,>98 ,>98 , >98,83 ,73 , 93,>98 ,>98 , >98,94 ,85 , >98,,,,43 ,39 , 47,,,,94 ,85 , >98,,,,,,,,,,,,
Côte d'Ivoire,26 ,22 , 31,4 ,3 , 4,23 ,20 , 27,15 ,13 , 18,42 ,35 , 50,37 ,32 , 44,49 ,42 , 57,54 ,45 , 63,59 ,50 , 69,58 ,50 , 68,57 ,49 , 67,65 ,55 , 76,64 ,55 , 76,65 ,55 , 78,65 ,55 , 79
Democratic Republic of the Congo,3 ,3 , 4,5 ,4 , 6,7 ,5 , 8,9 ,7 , 11,12 ,10 , 15,13 ,11 , 16,17 ,14 , 21,28 ,24 , 35,18 ,15 , 22,18 ,15 , 22,12 ,10 , 15,,,,9 ,8 , 12,10 ,8 , 13,10 ,8 , 13
Djibouti,,,,2 ,1 , 3,9 ,6 , 13,10 ,7 , 14,2 ,1 , 3,11 ,8 , 16,15 ,11 , 21,,,,5 ,4 , 7,,,,,,,,,,39 ,28 , 57,18 ,13 , 27,19 ,13 , 27
Dominica,,,,92 ,78 , >98,,,,58 ,50 , 68,,,,55 ,47 , 66,>98 ,>98 , >98,91 ,74 , >98,90 ,75 , >98,29 ,24 , 36,57 ,46 , 70,,,,85 ,68 , >98,85 ,67 , >98,58 ,45 , 75
Dominican Republic,5 ,4 , 6,20 ,17 , 24,20 ,17 , 25,27 ,23 , 32,51 ,42 , 62,45 ,37 , 55,27 ,23 , 36,30 ,25 , 40,27 ,22 , 37,27 ,22 , 37,12 ,10 , 16,8 ,7 , 12,19 ,16 , 27,25 ,21 , 36,25 ,21 , 36
Ecuador,<1 ,<1 , <1,77 ,67 , 89,69 ,60 , 79,17 ,15 , 20,72 ,63 , 82,,,,62 ,55 , 70,,,,15 ,13 , 18,19 ,17 , 21,,,,66 ,57 , 75,,,,78 ,68 , 91,62 ,54 , 73
Egypt,2 ,2 , 3,2 ,2 , 3,3 ,2 , 4,3 ,2 , 3,4 ,3 , 5,5 ,4 , 7,8 ,6 , 11,9 ,7 , 12,12 ,9 , 16,18 ,14 , 24,14 ,11 , 19,18 ,14 , 24,13 ,10 , 17,9 ,6 , 12,16 ,12 , 23
El Salvador,44 ,39 , 50,,,,4 ,3 , 4,59 ,53 , 67,80 ,73 , 89,84 ,76 , 95,81 ,72 , 91,81 ,72 , 91,67 ,59 , 75,71 ,61 , 81,77 ,67 , 90,72 ,62 , 84,57 ,50 , 67,47 ,41 , 56,65 ,55 , 78
Equatorial Guinea,,,,2 ,1 , 2,,,,,,,,,,,,,,,,,,,,,,,,,5 ,4 , 7,,,,,,,,,,,,
Eritrea,,,,,,,,,,84 ,64 , >98,>98 ,94 , >98,>98 ,96 , >98,>98 ,>98 , >98,54 ,42 , 74,67 ,53 , 90,73 ,56 , 97,74 ,56 , >98,67 ,51 , 90,65 ,49 , 89,64 ,48 , 89,,,
Eswatini,43 ,41 , 51,84 ,78 , 97,88 ,82 , >98,81 ,75 , 94,3 ,3 , 3,,,,80 ,75 , 91,81 ,76 , 92,87 ,81 , >98,,,,,,,48 ,45 , 55,>98 ,>98 , >98,38 ,35 , 43,,,
