Country,2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_Footnote
Canada,2100 ,1600 , 2600,,2000 ,1500 , 2400,,1900 ,1400 , 2300,,1800 ,1300 , 2200,,1800 ,1400 , 2200,,1900 ,1400 , 2200,,1900 ,1400 , 2300,,1900 ,1400 , 2300,,2000 ,1500 , 2400,,1900 ,1400 , 2200,,1600 ,1200 , 1900,,1700 ,1300 , 2100,,1900 ,1400 , 2200,,... ,... , ...,,... ,... , ...,,...,
Central African Republic,10 000 ,8100 , 13 000,,9800 ,7400 , 12 000,,9200 ,6800 , 12 000,,9200 ,6800 , 12 000,,8100 ,5800 , 11 000,,7500 ,5200 , 10 000,,6800 ,4400 , 9600,,6500 ,4200 , 9500,,5900 ,3700 , 9000,,5400 ,3100 , 8500,,5200 ,2900 , 8300,,5100 ,2900 , 8300,,4700 ,2500 , 8200,,4100 ,2100 , 7800,,4000 ,1900 , 8300,,-62,
Chad,8500 ,6600 , 11 000,,8100 ,6200 , 11 000,,7700 ,5900 , 10 000,,7100 ,5200 , 9400,,6200 ,4400 , 8400,,6600 ,4800 , 9000,,6400 ,4500 , 8600,,5700 ,4000 , 7600,,5400 ,3600 , 7300,,5100 ,3300 , 7200,,4700 ,2900 , 6600,,4300 ,2700 , 6500,,4400 ,2700 , 6500,,4000 ,2400 , 6400,,4300 ,2700 , 6800,,-50,
Chile,3000 ,2400 , 3300,,3100 ,2500 , 3400,,3200 ,2600 , 3500,,3200 ,2600 , 3600,,3300 ,2700 , 3700,,3400 ,2800 , 3800,,3500 ,2800 , 3900,,3600 ,2900 , 4000,,3700 ,3000 , 4100,,3800 ,3000 , 4200,,3800 ,3100 , 4300,,3900 ,3100 , 4400,,3900 ,3100 , 4400,,3900 ,3100 , 4500,,4000 ,3100 , 4500,,34,
China,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Colombia,12 000 ,8800 , 16 000,,11 000 ,7900 , 15 000,,11 000 ,7700 , 15 000,,11 000 ,7900 , 16 000,,11 000 ,7600 , 16 000,,11 000 ,7900 , 16 000,,11 000 ,7500 , 16 000,,12 000 ,7900 , 18 000,,12 000 ,8200 , 19 000,,12 000 ,8000 , 20 000,,12 000 ,7400 , 20 000,,12 000 ,7800 , 22 000,,13 000 ,7600 , 23 000,,12 000 ,7500 , 24 000,,... ,... , ...,,...,
Comoros,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",3,"Children estimates were not available at the time of publication."
Congo,7600 ,6000 , 9300,,7800 ,6000 , 9500,,8100 ,6200 , 10 000,,8200 ,6200 , 11 000,,8500 ,6400 , 11 000,,8700 ,6400 , 12 000,,9200 ,6600 , 13 000,,9500 ,6400 , 13 000,,9800 ,6300 , 14 000,,11 000 ,6900 , 15 000,,11 000 ,6600 , 15 000,,11 000 ,6500 , 16 000,,11 000 ,6100 , 17 000,,11 000 ,5500 , 17 000,,11 000 ,5000 , 17 000,,38,
Costa Rica,950 ,810 , 1100,,980 ,830 , 1100,,1000 ,850 , 1100,,1000 ,860 , 1200,,1000 ,870 , 1200,,1100 ,870 , 1200,,1100 ,870 , 1200,,1100 ,880 , 1300,,1100 ,880 , 1300,,1100 ,870 , 1300,,1100 ,880 , 1300,,1100 ,880 , 1300,,1100 ,890 , 1400,,1100 ,880 , 1400,,1100 ,900 , 1400,,21,
Croatia,<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",-52,"Children estimates were not available at the time of publication."
Cuba,2200 ,1900 , 2500,,2200 ,1800 , 2500,,2200 ,1800 , 2500,,2200 ,1800 , 2500,,2100 ,1700 , 2500,,2100 ,1700 , 2400,,2100 ,1600 , 2400,,2000 ,1600 , 2400,,2000 ,1500 , 2300,,2000 ,1500 , 2300,,1900 ,1500 , 2300,,1900 ,1400 , 2200,,1900 ,1400 , 2200,,1800 ,1300 , 2200,,1800 ,1300 , 2200,,-19,
Cyprus,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Czechia,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Côte d'Ivoire,25 000 ,20 000 , 33 000,,23 000 ,18 000 , 31 000,,20 000 ,15 000 , 28 000,,19 000 ,13 000 , 26 000,,16 000 ,10 000 , 23 000,,16 000 ,11 000 , 22 000,,17 000 ,11 000 , 24 000,,14 000 ,9300 , 21 000,,13 000 ,8200 , 20 000,,11 000 ,6700 , 17 000,,11 000 ,6700 , 17 000,,10 000 ,6100 , 16 000,,9200 ,5200 , 16 000,,9000 ,4900 , 15 000,,8200 ,4200 , 15 000,,-67,
Democratic People's Republic of Korea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Democratic Republic of the Congo,44 000 ,36 000 , 55 000,,43 000 ,35 000 , 54 000,,40 000 ,32 000 , 51 000,,38 000 ,30 000 , 49 000,,36 000 ,27 000 , 46 000,,35 000 ,26 000 , 46 000,,34 000 ,25 000 , 46 000,,33 000 ,24 000 , 46 000,,33 000 ,24 000 , 46 000,,34 000 ,24 000 , 46 000,,32 000 ,22 000 , 44 000,,30 000 ,20 000 , 45 000,,29 000 ,18 000 , 46 000,,27 000 ,15 000 , 45 000,,26 000 ,15 000 , 44 000,,-40,
Denmark,<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",-64,"Children estimates were not available at the time of publication."
Djibouti,910 ,550 , 1300,,750 ,<500 , 1100,,640 ,<500 , 980,,550 ,<500 , 850,,<500 ,<500 , 760,,<500 ,<500 , 770,,<500 ,<200 , 580,,<500 ,<200 , 580,,<500 ,<500 , 730,,<500 ,<500 , 690,,<500 ,<500 , 740,,<500 ,<500 , 700,,<500 ,<500 , 670,,<500 ,<500 , 750,,<500 ,<500 , 720,,-53,
Dominica,<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<100 ,<100 , <100,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",-36,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Dominican Republic,4700 ,3500 , 6000,,4400 ,3100 , 5600,,4300 ,2800 , 5500,,4100 ,2500 , 5400,,4000 ,2400 , 5300,,3900 ,2300 , 5200,,4000 ,2300 , 5300,,4300 ,2500 , 5700,,4500 ,2600 , 5900,,4600 ,2700 , 6100,,4700 ,2800 , 6300,,4600 ,2700 , 6200,,4300 ,2500 , 5800,,4100 ,2300 , 5700,,4000 ,2300 , 5600,,-15,
Ecuador,2700 ,2300 , 3300,,2700 ,2300 , 3200,,2600 ,2200 , 3100,,2500 ,2100 , 3100,,2500 ,2000 , 3000,,2300 ,1900 , 2900,,2100 ,1700 , 2700,,2000 ,1600 , 2600,,2000 ,1600 , 2500,,1900 ,1500 , 2500,,1800 ,1500 , 2400,,1900 ,1500 , 2600,,1900 ,1500 , 2600,,1900 ,1400 , 2500,,1900 ,1400 , 2600,,-31,
Egypt,2400 ,1800 , 3400,,2600 ,1900 , 3700,,2800 ,2000 , 3900,,3000 ,2200 , 4300,,3200 ,2300 , 4500,,3400 ,2500 , 4900,,3700 ,2700 , 5300,,3900 ,2700 , 5600,,4100 ,2800 , 5900,,4400 ,2900 , 6400,,4700 ,3100 , 6900,,5100 ,3300 , 7600,,5300 ,3400 , 8200,,5900 ,3700 , 9600,,6300 ,3900 , 11 000,,156,
El Salvador,680 ,560 , 830,,620 ,<500 , 770,,580 ,<500 , 740,,590 ,<500 , 760,,620 ,<500 , 800,,650 ,<500 , 830,,670 ,<500 , 860,,700 ,<500 , 880,,730 ,<500 , 910,,750 ,510 , 940,,790 ,560 , 960,,810 ,600 , 990,,850 ,620 , 1100,,890 ,610 , 1200,,940 ,590 , 1300,,38,
Equatorial Guinea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Eritrea,<500 ,<500 , 740,,<500 ,<200 , 690,,<500 ,<200 , 780,,<500 ,<200 , 620,,<500 ,<200 , 680,,<500 ,<200 , 600,,<500 ,<200 , 540,,<500 ,<200 , 560,,<500 ,<200 , 620,,<500 ,<200 , 620,,<500 ,<200 , 540,,<500 ,<500 , 620,,<500 ,<500 , 640,,<500 ,<500 , 580,,<500 ,<500 , 570,,-14,
Estonia,<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",-77,"Children estimates were not available at the time of publication."
Eswatini,14 000 ,13 000 , 16 000,,14 000 ,12 000 , 15 000,,14 000 ,12 000 , 15 000,,13 000 ,12 000 , 15 000,,13 000 ,11 000 , 14 000,,11 000 ,9400 , 12 000,,8400 ,7400 , 9500,,7300 ,6400 , 8300,,6900 ,5800 , 8000,,6300 ,5300 , 7300,,5300 ,4400 , 6200,,5300 ,4400 , 6400,,4400 ,3500 , 5300,,4600 ,3800 , 5600,,4200 ,3400 , 5200,,-70,
Ethiopia,26 000 ,15 000 , 51 000,,23 000 ,13 000 , 47 000,,21 000 ,12 000 , 41 000,,18 000 ,11 000 , 37 000,,17 000 ,9700 , 34 000,,14 000 ,8300 , 29 000,,15 000 ,8800 , 31 000,,15 000 ,8400 , 29 000,,14 000 ,7900 , 28 000,,12 000 ,7200 , 25 000,,11 000 ,6000 , 21 000,,13 000 ,7200 , 25 000,,9700 ,5500 , 19 000,,8700 ,5000 , 17 000,,8000 ,4600 , 16 000,,-69,
Fiji,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , 590,,590 ,<500 , 780,,740 ,560 , 1000,,910 ,670 , 1400,,1100 ,790 , 1900,,1300 ,930 , 2700,,3091,
Finland,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
France,5100 ,4100 , 5700,,4900 ,4000 , 5500,,4500 ,3600 , 5000,,4300 ,3400 , 4800,,4200 ,3300 , 4700,,4200 ,3400 , 4800,,4100 ,3300 , 4600,,4000 ,3200 , 4500,,3800 ,3000 , 4300,,3700 ,3000 , 4200,,3400 ,2700 , 3900,,3300 ,2600 , 3700,,3400 ,2700 , 3800,,3700 ,2900 , 4300,,... ,... , ...,,...,
Gabon,3200 ,2500 , 4200,,3100 ,2300 , 4000,,2900 ,2100 , 3900,,2800 ,1900 , 3800,,2700 ,1900 , 3800,,2600 ,1800 , 3600,,2400 ,1600 , 3500,,2600 ,1700 , 3800,,2500 ,1600 , 3900,,2400 ,1400 , 3800,,2200 ,1300 , 3700,,2300 ,1300 , 3700,,2000 ,1100 , 3700,,2000 ,1100 , 3800,,1700 ,840 , 3300,,-49,
Gambia,2300 ,1700 , 3100,,2200 ,1600 , 3000,,2200 ,1600 , 3000,,2100 ,1500 , 2900,,2100 ,1400 , 2800,,1900 ,1300 , 2700,,1900 ,1300 , 2600,,1700 ,1200 , 2400,,1600 ,1000 , 2300,,1600 ,1000 , 2300,,1500 ,980 , 2300,,1400 ,870 , 2100,,1300 ,750 , 2100,,1200 ,720 , 2100,,1100 ,620 , 2000,,-51,
Georgia,<500 ,<500 , 500,"Children estimates were not available at the time of publication.",500 ,<500 , 540,"Children estimates were not available at the time of publication.",540 ,<500 , 570,"Children estimates were not available at the time of publication.",560 ,520 , 600,"Children estimates were not available at the time of publication.",590 ,550 , 620,"Children estimates were not available at the time of publication.",600 ,560 , 650,"Children estimates were not available at the time of publication.",620 ,580 , 660,"Children estimates were not available at the time of publication.",630 ,580 , 680,"Children estimates were not available at the time of publication.",630 ,590 , 680,"Children estimates were not available at the time of publication.",630 ,590 , 680,"Children estimates were not available at the time of publication.",630 ,580 , 670,"Children estimates were not available at the time of publication.",610 ,560 , 660,"Children estimates were not available at the time of publication.",600 ,550 , 650,"Children estimates were not available at the time of publication.",590 ,530 , 640,"Children estimates were not available at the time of publication.",560 ,<500 , 630,"Children estimates were not available at the time of publication.",21,"Children estimates were not available at the time of publication."
Germany,2600 ,1900 , 3200,,2300 ,1700 , 2900,,2400 ,1700 , 2900,,2400 ,1700 , 2900,,2400 ,1700 , 2900,,2300 ,1600 , 2900,,2300 ,1600 , 2800,,2100 ,1400 , 2600,,2000 ,1400 , 2500,,2100 ,1400 , 2600,,1700 ,1200 , 2100,,1700 ,1200 , 2100,,1900 ,1400 , 2400,,2200 ,1500 , 2700,,2200 ,1500 , 2700,,-17,
Ghana,22 000 ,19 000 , 28 000,,21 000 ,17 000 , 26 000,,21 000 ,17 000 , 26 000,,21 000 ,17 000 , 27 000,,21 000 ,17 000 , 26 000,,21 000 ,17 000 , 27 000,,20 000 ,16 000 , 26 000,,20 000 ,16 000 , 26 000,,19 000 ,15 000 , 26 000,,19 000 ,14 000 , 25 000,,19 000 ,14 000 , 27 000,,18 000 ,13 000 , 26 000,,17 000 ,12 000 , 26 000,,17 000 ,11 000 , 26 000,,15 000 ,10 000 , 25 000,,-32,
Greece,680 ,540 , 770,"Children estimates were not available at the time of publication.",680 ,540 , 770,"Children estimates were not available at the time of publication.",670 ,530 , 770,"Children estimates were not available at the time of publication.",660 ,520 , 760,"Children estimates were not available at the time of publication.",640 ,500 , 740,"Children estimates were not available at the time of publication.",630 ,<500 , 730,"Children estimates were not available at the time of publication.",620 ,<500 , 720,"Children estimates were not available at the time of publication.",610 ,<500 , 710,"Children estimates were not available at the time of publication.",610 ,<500 , 710,"Children estimates were not available at the time of publication.",600 ,<500 , 690,"Children estimates were not available at the time of publication.",590 ,<500 , 690,"Children estimates were not available at the time of publication.",590 ,<500 , 680,"Children estimates were not available at the time of publication.",570 ,<500 , 670,"Children estimates were not available at the time of publication.",560 ,<500 , 660,"Children estimates were not available at the time of publication.",550 ,<500 , 640,"Children estimates were not available at the time of publication.",-20,"Children estimates were not available at the time of publication."
Guatemala,1000 ,690 , 1500,,840 ,520 , 1300,,830 ,530 , 1300,,750 ,<500 , 1200,,780 ,<500 , 1300,,890 ,580 , 1500,,1000 ,690 , 1600,,1000 ,700 , 1600,,1100 ,810 , 1700,,1100 ,820 , 1700,,1200 ,890 , 1800,,1400 ,1100 , 2100,,1300 ,1000 , 2100,,1300 ,1000 , 2100,,1400 ,1100 , 2200,,40,
Guinea,9800 ,8100 , 12 000,,9200 ,7700 , 11 000,,8900 ,7300 , 11 000,,8100 ,6300 , 10 000,,9500 ,7600 , 12 000,,9200 ,7400 , 12 000,,8900 ,7200 , 11 000,,8800 ,7000 , 11 000,,8700 ,6700 , 11 000,,7500 ,5500 , 10 000,,7000 ,4900 , 9700,,6600 ,4400 , 9300,,6000 ,3900 , 8700,,5300 ,3200 , 8100,,4700 ,2600 , 7400,,-52,
Guinea-Bissau,2900 ,2300 , 3400,,2600 ,2100 , 3200,,2400 ,1900 , 2900,,2100 ,1600 , 2700,,1800 ,1300 , 2400,,1800 ,1200 , 2300,,1700 ,1200 , 2200,,1600 ,1100 , 2100,,1600 ,1100 , 2100,,1400 ,930 , 1900,,1300 ,850 , 1800,,1300 ,840 , 1800,,1100 ,710 , 1700,,1100 ,660 , 1600,,880 ,530 , 1400,,-69,
Guyana,<500 ,<500 , 830,,<500 ,<500 , 840,,<500 ,<500 , 890,,<500 ,<500 , 870,,<500 ,<500 , 890,,<500 ,<500 , 880,,<500 ,<500 , 890,,<500 ,<500 , 920,,<500 ,<500 , 930,,570 ,<500 , 1000,,520 ,<500 , 970,,570 ,<500 , 1000,,590 ,<500 , 1100,,600 ,<500 , 1100,,560 ,<500 , 1000,,21,
Haiti,8200 ,7100 , 10 000,,7700 ,6400 , 9700,,7100 ,5900 , 8900,,7200 ,5900 , 9100,,7100 ,5800 , 8900,,7200 ,5900 , 9100,,7600 ,6100 , 9600,,7900 ,6400 , 9900,,7100 ,5700 , 9100,,7400 ,5900 , 9400,,7000 ,5600 , 9000,,6600 ,5100 , 8800,,6700 ,5200 , 9300,,6200 ,4600 , 8900,,5800 ,4200 , 8700,,-28,
Honduras,<500 ,<500 , 770,,<500 ,<500 , 750,,<500 ,<500 , 750,,<500 ,<500 , 740,,<500 ,<500 , 700,,<500 ,<500 , 680,,530 ,<500 , 760,,<500 ,<500 , 720,,520 ,<500 , 720,,530 ,<500 , 720,,500 ,<500 , 660,,550 ,<500 , 710,,<500 ,<500 , 660,,<500 ,<500 , 610,,<500 ,<500 , 580,,-5,
Hungary,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Iceland,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",37,"Children estimates were not available at the time of publication."
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64 000 ,43 000 , 110 000,,,
