Country,2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote, 2019,2019_Footnote, 2020,2020_Footnote, 2024,2024_Footnote
Dominica,,,17,"Denominator less than 50.",...,,...,,...,,...,,,
Dominican Republic,...,"Suppressed because the value is too low.",1,,19,,10,,22,,...,,21,
Ecuador,,,...,,34,,37,,29,,18,,,
Egypt,,,...,,...,,...,,...,,30,,,
El Salvador,47,,34,,12,,8,,35,,25,,,
Equatorial Guinea,22,,...,,...,,>98,"Denominator less than 50.",...,,...,,,
Eritrea,,,...,,34,,46,,47,,38,,,
Estonia,,,...,,...,,...,,...,,...,,,
Eswatini,,,...,,15,,...,,32,,...,,,
Ethiopia,,,...,,...,,...,,...,,...,,,
Fiji,50,"Denominator is less than 50.",48,"Denominator less than 50.",...,,...,,...,,...,,,
Finland,,,...,,...,,...,,...,,...,,,
France,,,...,,...,,...,,...,,...,,,
Gabon,38,,34,,47,,...,,41,,27,,,
Gambia,,,...,,...,,...,,...,,...,,,
Georgia,34,,35,,34,,33,,33,,29,,,
Germany,,,28,,...,,...,,...,,33,,,
Ghana,,,...,,...,,...,,...,,...,,,
Greece,33,,...,,...,,...,,...,,...,,,
Grenada,26,"Denominator is less than 50.",26,"Denominator less than 50.",14,"Denominator less than 50.",21,"Denominator less than 50.",19,"Denominator less than 50.",46,"Denominator less than 50.",,
Guatemala,...,"Value increased by more than 25%",48,,45,,47,,47,,44,,,
Guinea,,,...,,...,,...,,...,,...,,,
Guinea-Bissau,,,...,,...,,...,,...,,...,,,
Guyana,,,18,,...,,9,,18,,...,,,
Haiti,32,,26,,26,,28,,25,,...,,,
Honduras,,,48,,53,,35,,26,,29,,,
Hungary,,,...,,...,,...,,...,,...,,,
Iceland,,,33,"Denominator less than 50.",...,,...,,...,,...,,,
India,,,38,,40,,37,,35,,41,,,
Indonesia,53,,50,,50,,55,,52,,...,,,
Iran (Islamic Republic of),30,,36,,35,,34,,34,,41,,,
Iraq,,,...,,...,,...,,...,,...,,,
Ireland,28,,22,,...,,...,,...,,...,,,
Israel,,,...,,25,,25,,30,,...,,,
Italy,,,...,,...,,...,,...,,...,,,
Jamaica,36,,33,,32,,...,,25,,25,,,
Japan,,,...,,...,,...,,...,,...,,,
Jordan,40,"Denominator is less than 50.",...,,17,"Denominator less than 50.",16,"Denominator less than 50.",57,"Denominator less than 50.",20,,,
Kazakhstan,17,,18,,19,,20,,21,,21,,3,
Kenya,,,...,,...,,...,,...,,...,,,
