,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Azerbaijan,53 ,44 , 63,"Children estimates were not available at the time of publication.",51 ,43 , 61,"Children estimates were not available at the time of publication.",,,,,59 ,50 , 69,"Children estimates were not available at the time of publication.",56 ,48 , 66,"Children estimates were not available at the time of publication.",,,,,64 ,55 , 75,"Children estimates were not available at the time of publication.",61 ,52 , 72,"Children estimates were not available at the time of publication.",75 ,64 , 88,"Children estimates were not available at the time of publication.",69 ,60 , 82,"Children estimates were not available at the time of publication.",66 ,57 , 78,"Children estimates were not available at the time of publication.",83 ,71 , 98,"Children estimates were not available at the time of publication.",75 ,65 , 88,"Children estimates were not available at the time of publication.",74 ,64 , 87,"Children estimates were not available at the time of publication.",81 ,70 , 95,"Children estimates were not available at the time of publication.",78 ,68 , 92,"Children estimates were not available at the time of publication.",77 ,67 , 90,"Children estimates were not available at the time of publication.",86 ,74 , >98,"Children estimates were not available at the time of publication.",83 ,71 , 98,"Children estimates were not available at the time of publication.",79 ,67 , 92,"Children estimates were not available at the time of publication.",83 ,71 , 97,"Children estimates were not available at the time of publication.",89 ,75 , >98,"Children estimates were not available at the time of publication.",75 ,64 , 88,"Children estimates were not available at the time of publication.",96 ,81 , >98,"Children estimates were not available at the time of publication.",95 ,80 , >98,"Children estimates were not available at the time of publication.",80 ,68 , 94,"Children estimates were not available at the time of publication.",93 ,79 , >98,"Children estimates were not available at the time of publication.",>98 ,88 , >98,"Children estimates were not available at the time of publication.",83 ,70 , 96,"Children estimates were not available at the time of publication.",92 ,78 , >98,"Children estimates were not available at the time of publication."
Bahamas,93 ,85 , >98,"Children estimates were not available at the time of publication.",58 ,53 , 63,"Children estimates were not available at the time of publication.",,,,,93 ,85 , >98,"Children estimates were not available at the time of publication.",58 ,53 , 63,"Children estimates were not available at the time of publication.",,,,,95 ,86 , >98,"Children estimates were not available at the time of publication.",74 ,68 , 81,"Children estimates were not available at the time of publication.",70 ,63 , 76,"Children estimates were not available at the time of publication.",95 ,86 , >98,"Children estimates were not available at the time of publication.",78 ,70 , 85,"Children estimates were not available at the time of publication.",75 ,68 , 83,"Children estimates were not available at the time of publication.",95 ,85 , >98,"Children estimates were not available at the time of publication.",76 ,69 , 84,"Children estimates were not available at the time of publication.",,,,,95 ,85 , >98,"Children estimates were not available at the time of publication.",76 ,68 , 84,"Children estimates were not available at the time of publication.",75 ,67 , 83,"Children estimates were not available at the time of publication.",95 ,85 , >98,"Children estimates were not available at the time of publication.",78 ,70 , 86,"Children estimates were not available at the time of publication.",81 ,72 , 90,"Children estimates were not available at the time of publication.",95 ,85 , >98,"Children estimates were not available at the time of publication.",78 ,69 , 86,"Children estimates were not available at the time of publication.",81 ,72 , 90,"Children estimates were not available at the time of publication.",95 ,84 , >98,"Children estimates were not available at the time of publication.",74 ,65 , 82,"Children estimates were not available at the time of publication.",92 ,81 , >98,"Children estimates were not available at the time of publication.",95 ,84 , >98,"Children estimates were not available at the time of publication.",78 ,69 , 88,"Children estimates were not available at the time of publication.",91 ,80 , >98,"Children estimates were not available at the time of publication."
Bahrain,51 ,46 , 57,"Children estimates were not available at the time of publication.",68 ,61 , 77,"Children estimates were not available at the time of publication.",,,,,51 ,45 , 57,"Children estimates were not available at the time of publication.",65 ,58 , 72,"Children estimates were not available at the time of publication.",,,,,54 ,49 , 60,"Children estimates were not available at the time of publication.",65 ,59 , 73,"Children estimates were not available at the time of publication.",,,,,60 ,54 , 66,"Children estimates were not available at the time of publication.",77 ,69 , 85,"Children estimates were not available at the time of publication.",,,,,67 ,59 , 74,"Children estimates were not available at the time of publication.",89 ,79 , >98,"Children estimates were not available at the time of publication.",,,,,68 ,61 , 77,"Children estimates were not available at the time of publication.",94 ,83 , >98,"Children estimates were not available at the time of publication.",,,,,65 ,58 , 74,"Children estimates were not available at the time of publication.",84 ,74 , 95,"Children estimates were not available at the time of publication.",,,,,71 ,62 , 81,"Children estimates were not available at the time of publication.",69 ,60 , 79,"Children estimates were not available at the time of publication.",>98 ,87 , >98,"Children estimates were not available at the time of publication.",76 ,66 , 88,"Children estimates were not available at the time of publication.",70 ,60 , 81,"Children estimates were not available at the time of publication.",>98 ,85 , >98,"Children estimates were not available at the time of publication.",77 ,66 , 90,"Children estimates were not available at the time of publication.",71 ,61 , 83,"Children estimates were not available at the time of publication.",97 ,83 , >98,"Children estimates were not available at the time of publication."
Bangladesh,30 ,28 , 34,,44 ,40 , 48,,,,,,32 ,29 , 35,,48 ,43 , 52,,,,,,36 ,33 , 39,,55 ,50 , 60,,,,,,38 ,35 , 42,,60 ,55 , 66,,,,,,49 ,45 , 54,,49 ,45 , 53,,... ,... , ...,,53 ,48 , 58,,55 ,50 , 60,,... ,... , ...,,52 ,48 , 57,,59 ,54 , 64,,... ,... , ...,,56 ,51 , 61,,60 ,55 , 65,,91 ,84 , >98,,58 ,53 , 63,,66 ,61 , 72,,91 ,83 , >98,,60 ,55 , 65,,69 ,64 , 76,,89 ,82 , 97,
Barbados,91 ,81 , >98,"Children estimates were not available at the time of publication.",52 ,47 , 57,"Children estimates were not available at the time of publication.",,,,,91 ,82 , >98,"Children estimates were not available at the time of publication.",54 ,48 , 59,"Children estimates were not available at the time of publication.",,,,,92 ,82 , >98,"Children estimates were not available at the time of publication.",57 ,51 , 63,"Children estimates were not available at the time of publication.",88 ,79 , 97,"Children estimates were not available at the time of publication.",92 ,81 , >98,"Children estimates were not available at the time of publication.",59 ,53 , 65,"Children estimates were not available at the time of publication.",90 ,80 , >98,"Children estimates were not available at the time of publication.",92 ,81 , >98,"Children estimates were not available at the time of publication.",63 ,55 , 69,"Children estimates were not available at the time of publication.",89 ,78 , 98,"Children estimates were not available at the time of publication.",92 ,81 , >98,"Children estimates were not available at the time of publication.",62 ,55 , 69,"Children estimates were not available at the time of publication.",93 ,81 , >98,"Children estimates were not available at the time of publication.",92 ,80 , >98,"Children estimates were not available at the time of publication.",64 ,56 , 71,"Children estimates were not available at the time of publication.",92 ,80 , >98,"Children estimates were not available at the time of publication.",92 ,81 , >98,"Children estimates were not available at the time of publication.",62 ,54 , 69,"Children estimates were not available at the time of publication.",93 ,81 , >98,"Children estimates were not available at the time of publication.",93 ,81 , >98,"Children estimates were not available at the time of publication.",63 ,56 , 70,"Children estimates were not available at the time of publication.",91 ,80 , >98,"Children estimates were not available at the time of publication.",93 ,81 , >98,"Children estimates were not available at the time of publication.",65 ,57 , 72,"Children estimates were not available at the time of publication.",97 ,84 , >98,"Children estimates were not available at the time of publication."
Belarus,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Belgium,,,,,,,,,>98 ,94 , >98,,,,,,,,,,>98 ,93 , >98,,,,,,,,,,>98 ,93 , >98,,,,,,,,,,>98 ,93 , >98,,,,,,,,,,>98 ,93 , >98,,92 ,85 , >98,,94 ,88 , >98,,>98 ,92 , >98,,92 ,85 , >98,,95 ,88 , >98,,>98 ,92 , >98,,92 ,85 , >98,,96 ,88 , >98,,>98 ,92 , >98,,93 ,85 , >98,,95 ,87 , >98,,>98 ,91 , >98,,,,,,,,,,,,,
Belize,64 ,60 , 69,"Children estimates were not available at the time of publication.",56 ,52 , 60,"Children estimates were not available at the time of publication.",,,,,65 ,60 , 69,"Children estimates were not available at the time of publication.",59 ,54 , 63,"Children estimates were not available at the time of publication.",59 ,55 , 63,"Children estimates were not available at the time of publication.",66 ,61 , 70,"Children estimates were not available at the time of publication.",59 ,54 , 63,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",69 ,63 , 73,"Children estimates were not available at the time of publication.",60 ,55 , 64,"Children estimates were not available at the time of publication.",65 ,60 , 70,"Children estimates were not available at the time of publication.",70 ,65 , 75,"Children estimates were not available at the time of publication.",59 ,54 , 63,"Children estimates were not available at the time of publication.",52 ,48 , 56,"Children estimates were not available at the time of publication.",72 ,66 , 77,"Children estimates were not available at the time of publication.",58 ,53 , 62,"Children estimates were not available at the time of publication.",65 ,60 , 70,"Children estimates were not available at the time of publication.",72 ,66 , 77,"Children estimates were not available at the time of publication.",59 ,54 , 63,"Children estimates were not available at the time of publication.",60 ,56 , 65,"Children estimates were not available at the time of publication.",73 ,67 , 78,"Children estimates were not available at the time of publication.",60 ,56 , 65,"Children estimates were not available at the time of publication.",73 ,67 , 78,"Children estimates were not available at the time of publication.",75 ,69 , 81,"Children estimates were not available at the time of publication.",62 ,57 , 67,"Children estimates were not available at the time of publication.",79 ,72 , 85,"Children estimates were not available at the time of publication.",77 ,71 , 84,"Children estimates were not available at the time of publication.",64 ,59 , 70,"Children estimates were not available at the time of publication.",77 ,70 , 83,"Children estimates were not available at the time of publication."
Benin,48 ,42 , 57,,75 ,65 , 88,,... ,... , ...,,50 ,44 , 60,,67 ,59 , 79,,... ,... , ...,,58 ,51 , 68,,92 ,80 , >98,,... ,... , ...,,61 ,54 , 72,,93 ,81 , >98,,75 ,66 , 89,,66 ,57 , 77,,96 ,84 , >98,,69 ,61 , 82,,72 ,62 , 85,,>98 ,86 , >98,,81 ,71 , 96,,79 ,69 , 94,,>98 ,86 , >98,,79 ,69 , 94,,86 ,75 , >98,,>98 ,86 , >98,,82 ,71 , 96,,82 ,70 , 96,,>98 ,85 , >98,,91 ,78 , >98,,89 ,77 , >98,,>98 ,85 , >98,,91 ,79 , >98,
Bhutan,56 ,48 , 66,"Children estimates were not available at the time of publication.",79 ,68 , 92,"Children estimates were not available at the time of publication.",,,,,61 ,52 , 71,"Children estimates were not available at the time of publication.",81 ,69 , 95,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",64 ,54 , 75,"Children estimates were not available at the time of publication.",90 ,76 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",67 ,57 , 79,"Children estimates were not available at the time of publication.",95 ,80 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",68 ,57 , 80,"Children estimates were not available at the time of publication.",92 ,77 , >98,"Children estimates were not available at the time of publication.",94 ,79 , >98,"Children estimates were not available at the time of publication.",69 ,58 , 80,"Children estimates were not available at the time of publication.",92 ,77 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",70 ,59 , 82,"Children estimates were not available at the time of publication.",91 ,77 , >98,"Children estimates were not available at the time of publication.",89 ,75 , >98,"Children estimates were not available at the time of publication.",67 ,57 , 79,"Children estimates were not available at the time of publication.",97 ,82 , >98,"Children estimates were not available at the time of publication.",93 ,79 , >98,"Children estimates were not available at the time of publication.",69 ,58 , 80,"Children estimates were not available at the time of publication.",>98 ,83 , >98,"Children estimates were not available at the time of publication.",84 ,71 , 98,"Children estimates were not available at the time of publication.",71 ,60 , 83,"Children estimates were not available at the time of publication.",>98 ,84 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
