,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Mauritius,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,
Mexico,52 ,48 , 56,,82 ,76 , 87,,82 ,75 , 87,,55 ,51 , 59,,83 ,76 , 89,,84 ,77 , 90,,58 ,53 , 62,,81 ,73 , 86,,88 ,80 , 94,,63 ,57 , 67,,84 ,77 , 90,,89 ,81 , 95,,66 ,60 , 71,,80 ,73 , 86,,89 ,81 , 96,,68 ,61 , 73,,87 ,79 , 94,,90 ,82 , 97,,71 ,64 , 77,,88 ,79 , 95,,91 ,83 , >98,,74 ,67 , 81,,84 ,76 , 92,,92 ,83 , >98,,77 ,69 , 85,,82 ,73 , 90,,92 ,82 , >98,,80 ,71 , 89,,81 ,72 , 90,,93 ,83 , >98,
Mongolia,33 ,29 , 37,"Children estimates were not available at the time of publication.",85 ,76 , 95,"Children estimates were not available at the time of publication.",84 ,75 , 94,"Children estimates were not available at the time of publication.",36 ,32 , 40,"Children estimates were not available at the time of publication.",82 ,73 , 91,"Children estimates were not available at the time of publication.",74 ,66 , 83,"Children estimates were not available at the time of publication.",38 ,33 , 42,"Children estimates were not available at the time of publication.",87 ,77 , 96,"Children estimates were not available at the time of publication.",86 ,77 , 96,"Children estimates were not available at the time of publication.",39 ,35 , 44,"Children estimates were not available at the time of publication.",86 ,77 , 96,"Children estimates were not available at the time of publication.",79 ,70 , 88,"Children estimates were not available at the time of publication.",40 ,36 , 45,"Children estimates were not available at the time of publication.",83 ,74 , 92,"Children estimates were not available at the time of publication.",93 ,83 , >98,"Children estimates were not available at the time of publication.",42 ,38 , 47,"Children estimates were not available at the time of publication.",85 ,76 , 95,"Children estimates were not available at the time of publication.",90 ,80 , >98,"Children estimates were not available at the time of publication.",43 ,39 , 48,"Children estimates were not available at the time of publication.",87 ,77 , 97,"Children estimates were not available at the time of publication.",96 ,85 , >98,"Children estimates were not available at the time of publication.",44 ,40 , 50,"Children estimates were not available at the time of publication.",89 ,79 , >98,"Children estimates were not available at the time of publication.",94 ,83 , >98,"Children estimates were not available at the time of publication.",46 ,41 , 51,"Children estimates were not available at the time of publication.",86 ,76 , 96,"Children estimates were not available at the time of publication.",94 ,84 , >98,"Children estimates were not available at the time of publication.",47 ,42 , 53,"Children estimates were not available at the time of publication.",86 ,76 , 96,"Children estimates were not available at the time of publication.",94 ,83 , >98,"Children estimates were not available at the time of publication."
Montenegro,,,,,,,,,,,,,,,,,,,,,91 ,77 , >98,"Children estimates were not available at the time of publication.",48 ,40 , 56,"Children estimates were not available at the time of publication.",94 ,79 , >98,"Children estimates were not available at the time of publication.",91 ,77 , >98,"Children estimates were not available at the time of publication.",50 ,42 , 59,"Children estimates were not available at the time of publication.",97 ,80 , >98,"Children estimates were not available at the time of publication.",93 ,77 , >98,"Children estimates were not available at the time of publication.",56 ,46 , 66,"Children estimates were not available at the time of publication.",93 ,77 , >98,"Children estimates were not available at the time of publication.",94 ,78 , >98,"Children estimates were not available at the time of publication.",54 ,45 , 65,"Children estimates were not available at the time of publication.",96 ,80 , >98,"Children estimates were not available at the time of publication.",96 ,80 , >98,"Children estimates were not available at the time of publication.",54 ,44 , 65,"Children estimates were not available at the time of publication.",96 ,79 , >98,"Children estimates were not available at the time of publication.",98 ,81 , >98,"Children estimates were not available at the time of publication.",54 ,45 , 66,"Children estimates were not available at the time of publication.",97 ,80 , >98,"Children estimates were not available at the time of publication.",96 ,78 , >98,"Children estimates were not available at the time of publication.",60 ,50 , 74,"Children estimates were not available at the time of publication.",96 ,79 , >98,"Children estimates were not available at the time of publication.",95 ,78 , >98,"Children estimates were not available at the time of publication.",62 ,51 , 77,"Children estimates were not available at the time of publication.",98 ,80 , >98,"Children estimates were not available at the time of publication.",96 ,79 , >98,"Children estimates were not available at the time of publication."
Morocco,59 ,54 , 66,,63 ,58 , 70,,87 ,80 , 97,,61 ,56 , 68,,67 ,62 , 74,,88 ,81 , 98,,68 ,63 , 75,,65 ,60 , 72,,89 ,82 , >98,,74 ,68 , 82,,64 ,59 , 71,,91 ,84 , >98,,76 ,70 , 85,,67 ,61 , 74,,92 ,84 , >98,,80 ,73 , 88,,68 ,62 , 75,,92 ,84 , >98,,81 ,74 , 90,,84 ,77 , 94,,95 ,87 , >98,,77 ,70 , 86,,91 ,83 , >98,,93 ,85 , >98,,78 ,70 , 87,,94 ,86 , >98,,94 ,85 , >98,,80 ,72 , 90,,95 ,86 , >98,,95 ,86 , >98,
Mozambique,62 ,59 , 66,,65 ,62 , 70,,,,,,67 ,64 , 72,,72 ,68 , 77,,... ,... , ...,,71 ,68 , 76,,76 ,72 , 82,,... ,... , ...,,75 ,71 , 80,,74 ,70 , 79,,... ,... , ...,,77 ,73 , 83,,77 ,73 , 83,,76 ,72 , 82,,79 ,74 , 85,,78 ,73 , 84,,85 ,80 , 92,,81 ,76 , 87,,83 ,78 , 89,,88 ,83 , 95,,83 ,78 , 90,,87 ,81 , 94,,88 ,83 , 96,,85 ,80 , 93,,90 ,84 , >98,,90 ,83 , 97,,87 ,81 , 95,,94 ,87 , >98,,91 ,85 , >98,
Myanmar,40 ,35 , 45,,>98 ,87 , >98,,... ,... , ...,,47 ,41 , 54,,>98 ,88 , >98,,... ,... , ...,,54 ,46 , 62,,>98 ,86 , >98,,... ,... , ...,,61 ,51 , 70,,>98 ,84 , >98,,92 ,77 , >98,,67 ,55 , 77,,>98 ,83 , >98,,95 ,78 , >98,,71 ,58 , 84,,>98 ,82 , >98,,... ,... , ...,,68 ,54 , 81,,>98 ,84 , >98,,... ,... , ...,,73 ,58 , 90,,>98 ,78 , >98,,... ,... , ...,,75 ,58 , 94,,>98 ,77 , >98,,96 ,74 , >98,,80 ,61 , >98,,93 ,70 , >98,,96 ,73 , >98,
Namibia,84 ,79 , 92,,73 ,68 , 79,,,,,,85 ,79 , 93,,72 ,67 , 79,,,,,,88 ,81 , 96,,79 ,73 , 87,,,,,,90 ,84 , >98,,81 ,75 , 90,,,,,,92 ,85 , >98,,88 ,82 , 97,,,,,,92 ,85 , >98,,89 ,82 , >98,,,,,,93 ,86 , >98,,93 ,86 , >98,,96 ,89 , >98,,94 ,86 , >98,,94 ,87 , >98,,98 ,90 , >98,,94 ,87 , >98,,97 ,89 , >98,,>98 ,90 , >98,,96 ,89 , >98,,>98 ,90 , >98,,>98 ,91 , >98,
Nepal,,,,,,,,,,,,,47 ,43 , 51,,72 ,66 , 78,,,,,,52 ,48 , 57,,77 ,71 , 84,,90 ,82 , 98,,58 ,53 , 63,,79 ,72 , 86,,... ,... , ...,,64 ,58 , 69,,81 ,73 , 87,,86 ,79 , 94,,71 ,64 , 77,,79 ,71 , 86,,91 ,83 , >98,,72 ,65 , 78,,86 ,78 , 93,,... ,... , ...,,80 ,72 , 87,,84 ,76 , 91,,97 ,87 , >98,,82 ,74 , 90,,87 ,79 , 95,,97 ,88 , >98,,91 ,82 , >98,,84 ,76 , 92,,97 ,87 , >98,
Netherlands,88 ,80 , 96,,91 ,82 , >98,,98 ,88 , >98,,89 ,80 , 97,,92 ,83 , >98,,98 ,89 , >98,,90 ,82 , >98,,93 ,84 , >98,,>98 ,89 , >98,,91 ,83 , >98,,93 ,84 , >98,,>98 ,89 , >98,,92 ,83 , >98,,94 ,85 , >98,,>98 ,89 , >98,,93 ,83 , >98,,94 ,84 , >98,,>98 ,88 , >98,,93 ,82 , >98,,94 ,84 , >98,,>98 ,87 , >98,,93 ,82 , >98,,94 ,83 , >98,,>98 ,87 , >98,,93 ,81 , >98,,95 ,83 , >98,,>98 ,86 , >98,,,,,,,,,,,,,
New Zealand,68 ,57 , 76,"Children estimates were not available at the time of publication.",96 ,81 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",71 ,60 , 80,"Children estimates were not available at the time of publication.",96 ,81 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",74 ,63 , 83,"Children estimates were not available at the time of publication.",96 ,81 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",77 ,65 , 87,"Children estimates were not available at the time of publication.",96 ,81 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",77 ,65 , 86,"Children estimates were not available at the time of publication.",96 ,81 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",78 ,66 , 88,"Children estimates were not available at the time of publication.",96 ,81 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",80 ,67 , 90,"Children estimates were not available at the time of publication.",96 ,81 , >98,"Children estimates were not available at the time of publication.",>98 ,83 , >98,"Children estimates were not available at the time of publication.",80 ,67 , 91,"Children estimates were not available at the time of publication.",97 ,81 , >98,"Children estimates were not available at the time of publication.",>98 ,82 , >98,"Children estimates were not available at the time of publication.",85 ,72 , 97,"Children estimates were not available at the time of publication.",97 ,82 , >98,"Children estimates were not available at the time of publication.",98 ,82 , >98,"Children estimates were not available at the time of publication.",87 ,74 , >98,"Children estimates were not available at the time of publication.",97 ,82 , >98,"Children estimates were not available at the time of publication.",,,,
Nicaragua,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Niger,54 ,48 , 61,,71 ,63 , 80,,,,,,58 ,52 , 65,,77 ,69 , 87,,,,,,62 ,56 , 70,,85 ,76 , 96,,84 ,75 , 95,,67 ,60 , 75,,91 ,81 , >98,,89 ,80 , >98,,70 ,63 , 79,,90 ,81 , >98,,73 ,65 , 82,,73 ,65 , 82,,91 ,81 , >98,,79 ,70 , 89,,76 ,68 , 85,,90 ,81 , >98,,78 ,70 , 88,,78 ,69 , 88,,89 ,79 , >98,,75 ,67 , 85,,78 ,70 , 89,,88 ,78 , >98,,75 ,67 , 85,,80 ,71 , 90,,83 ,74 , 94,,... ,... , ...,
Nigeria,51 ,48 , 56,,76 ,71 , 84,,,,,,55 ,52 , 61,,79 ,74 , 87,,,,,,59 ,55 , 64,,79 ,74 , 87,,,,,,61 ,57 , 67,,76 ,72 , 84,,... ,... , ...,,64 ,60 , 70,,83 ,77 , 91,,86 ,80 , 94,,67 ,63 , 73,,88 ,82 , 96,,86 ,80 , 94,,71 ,66 , 77,,91 ,85 , >98,,95 ,88 , >98,,74 ,69 , 82,,95 ,88 , >98,,95 ,89 , >98,,79 ,73 , 86,,98 ,90 , >98,,96 ,89 , >98,,84 ,77 , 91,,>98 ,91 , >98,,95 ,87 , >98,
North Macedonia,38 ,32 , 44,"Children estimates were not available at the time of publication.",>98 ,84 , >98,"Children estimates were not available at the time of publication.",,,,,42 ,36 , 48,"Children estimates were not available at the time of publication.",>98 ,86 , >98,"Children estimates were not available at the time of publication.",,,,,46 ,40 , 53,"Children estimates were not available at the time of publication.",95 ,82 , >98,"Children estimates were not available at the time of publication.",94 ,81 , >98,"Children estimates were not available at the time of publication.",52 ,45 , 60,"Children estimates were not available at the time of publication.",93 ,81 , >98,"Children estimates were not available at the time of publication.",91 ,80 , >98,"Children estimates were not available at the time of publication.",54 ,47 , 64,"Children estimates were not available at the time of publication.",91 ,79 , >98,"Children estimates were not available at the time of publication.",84 ,73 , >98,"Children estimates were not available at the time of publication.",59 ,51 , 70,"Children estimates were not available at the time of publication.",90 ,78 , >98,"Children estimates were not available at the time of publication.",94 ,81 , >98,"Children estimates were not available at the time of publication.",60 ,51 , 72,"Children estimates were not available at the time of publication.",88 ,76 , >98,"Children estimates were not available at the time of publication.",98 ,84 , >98,"Children estimates were not available at the time of publication.",63 ,53 , 77,"Children estimates were not available at the time of publication.",85 ,71 , >98,"Children estimates were not available at the time of publication.",98 ,82 , >98,"Children estimates were not available at the time of publication.",66 ,54 , 80,"Children estimates were not available at the time of publication.",86 ,70 , >98,"Children estimates were not available at the time of publication.",98 ,80 , >98,"Children estimates were not available at the time of publication.",68 ,54 , 82,"Children estimates were not available at the time of publication.",87 ,70 , >98,"Children estimates were not available at the time of publication.",95 ,76 , >98,"Children estimates were not available at the time of publication."
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,"Children estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Children estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Children estimates were not available at the time of publication.",,,,,,,,,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",,,,,,,,,,,,
Oman,63 ,59 , 69,"Children estimates were not available at the time of publication.",54 ,51 , 59,"Children estimates were not available at the time of publication.",75 ,70 , 82,"Children estimates were not available at the time of publication.",56 ,52 , 60,"Children estimates were not available at the time of publication.",67 ,63 , 73,"Children estimates were not available at the time of publication.",84 ,78 , 91,"Children estimates were not available at the time of publication.",56 ,52 , 60,"Children estimates were not available at the time of publication.",75 ,69 , 81,"Children estimates were not available at the time of publication.",84 ,78 , 91,"Children estimates were not available at the time of publication.",55 ,51 , 59,"Children estimates were not available at the time of publication.",84 ,78 , 91,"Children estimates were not available at the time of publication.",87 ,81 , 94,"Children estimates were not available at the time of publication.",61 ,57 , 66,"Children estimates were not available at the time of publication.",87 ,81 , 95,"Children estimates were not available at the time of publication.",90 ,84 , >98,"Children estimates were not available at the time of publication.",69 ,64 , 75,"Children estimates were not available at the time of publication.",80 ,74 , 86,"Children estimates were not available at the time of publication.",92 ,85 , >98,"Children estimates were not available at the time of publication.",75 ,69 , 81,"Children estimates were not available at the time of publication.",81 ,75 , 88,"Children estimates were not available at the time of publication.",90 ,83 , >98,"Children estimates were not available at the time of publication.",72 ,67 , 79,"Children estimates were not available at the time of publication.",83 ,77 , 91,"Children estimates were not available at the time of publication.",91 ,84 , >98,"Children estimates were not available at the time of publication.",74 ,69 , 81,"Children estimates were not available at the time of publication.",86 ,80 , 94,"Children estimates were not available at the time of publication.",91 ,84 , >98,"Children estimates were not available at the time of publication.",76 ,70 , 84,"Children estimates were not available at the time of publication.",89 ,82 , 97,"Children estimates were not available at the time of publication.",93 ,85 , >98,"Children estimates were not available at the time of publication."
Pakistan,10 ,9 , 11,,45 ,40 , 49,,,,,,11 ,10 , 12,,48 ,43 , 53,,,,,,13 ,11 , 14,,54 ,48 , 59,,... ,... , ...,,15 ,14 , 17,,53 ,47 , 58,,... ,... , ...,,18 ,16 , 19,,59 ,53 , 64,,... ,... , ...,,19 ,17 , 20,,55 ,50 , 60,,... ,... , ...,,19 ,17 , 20,,55 ,49 , 59,,... ,... , ...,,19 ,18 , 21,,62 ,56 , 67,,... ,... , ...,,21 ,19 , 22,,68 ,62 , 73,,76 ,69 , 81,,21 ,19 , 23,,75 ,69 , 81,,41 ,38 , 44,
Panama,68 ,63 , 73,,62 ,57 , 66,,,,,,70 ,65 , 76,,69 ,63 , 74,,,,,,71 ,65 , 77,,74 ,68 , 80,,,,,,71 ,65 , 77,,74 ,68 , 80,,76 ,69 , 82,,73 ,67 , 80,,73 ,67 , 80,,,,,,73 ,67 , 81,,71 ,65 , 78,,97 ,88 , >98,,74 ,67 , 81,,70 ,64 , 77,,82 ,75 , 90,,79 ,72 , 87,,83 ,75 , 91,,90 ,82 , >98,,77 ,70 , 86,,86 ,78 , 95,,93 ,84 , >98,,... ,... , ...,,... ,... , ...,,93 ,83 , >98,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...,,41 ,37 , 47,,88 ,79 , >98,,... ,... , ...,,43 ,38 , 49,,89 ,80 , >98,,... ,... , ...,,45 ,40 , 51,,86 ,77 , 98,,... ,... , ...,,48 ,43 , 54,,87 ,78 , >98,,89 ,80 , >98,,52 ,47 , 60,,84 ,75 , 96,,90 ,81 , >98,,59 ,53 , 67,,79 ,71 , 90,,... ,... , ...,
Paraguay,80 ,74 , 85,,44 ,41 , 47,,,,,,82 ,77 , 88,,48 ,44 , 51,,,,,,84 ,78 , 90,,54 ,50 , 57,,,,,,85 ,79 , 90,,55 ,51 , 59,,,,,,86 ,80 , 92,,58 ,54 , 61,,,,,,87 ,80 , 92,,57 ,52 , 60,,85 ,79 , 91,,88 ,81 , 94,,59 ,55 , 63,,... ,... , ...,,89 ,82 , 95,,62 ,57 , 66,,90 ,83 , 96,,90 ,83 , 96,,64 ,59 , 68,,84 ,77 , 90,,91 ,83 , 98,,64 ,59 , 69,,85 ,78 , 92,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,70 ,63 , 82,,79 ,70 , 92,,77 ,68 , 89,,72 ,64 , 83,,85 ,76 , >98,,78 ,69 , 90,,75 ,67 , 86,,90 ,80 , >98,,77 ,68 , 88,,78 ,68 , 89,,88 ,78 , >98,,81 ,71 , 93,,80 ,71 , 92,,91 ,80 , >98,,79 ,70 , 91,,83 ,73 , 95,,92 ,81 , >98,,74 ,65 , 85,,86 ,76 , >98,,88 ,77 , >98,,87 ,76 , >98,,87 ,76 , >98,,92 ,80 , >98,,83 ,72 , 96,
Philippines,,,,,,,,,,,,,57 ,47 , 66,,48 ,40 , 55,,... ,... , ...,,61 ,51 , 71,,51 ,43 , 59,,... ,... , ...,,64 ,53 , 74,,57 ,47 , 66,,... ,... , ...,,66 ,55 , 77,,61 ,50 , 70,,... ,... , ...,,63 ,52 , 73,,61 ,51 , 71,,... ,... , ...,,62 ,52 , 72,,63 ,53 , 73,,... ,... , ...,,62 ,52 , 72,,66 ,55 , 77,,... ,... , ...,,63 ,52 , 73,,63 ,53 , 73,,... ,... , ...,,62 ,51 , 72,,65 ,54 , 76,,... ,... , ...,
Poland,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,83 ,75 , 91,,88 ,79 , 96,,94 ,84 , >98,,,,,,,,,,,,,,87 ,77 , 95,,... ,... , ...,,,,,,88 ,78 , 96,,... ,... , ...,,,,,,,,,,,,,,,,,,91 ,81 , >98,,... ,... , ...,,,,,,93 ,82 , >98,,... ,... , ...,,,,,,95 ,84 , >98,,... ,... , ...,,,,,,,,,,,,,,,,,
Qatar,70 ,54 , 88,"Children estimates were not available at the time of publication.",81 ,62 , >98,"Children estimates were not available at the time of publication.",75 ,58 , 96,"Children estimates were not available at the time of publication.",60 ,47 , 71,"Children estimates were not available at the time of publication.",81 ,63 , 95,"Children estimates were not available at the time of publication.",67 ,53 , 79,"Children estimates were not available at the time of publication.",60 ,47 , 69,"Children estimates were not available at the time of publication.",74 ,58 , 86,"Children estimates were not available at the time of publication.",64 ,50 , 74,"Children estimates were not available at the time of publication.",61 ,48 , 70,"Children estimates were not available at the time of publication.",73 ,58 , 85,"Children estimates were not available at the time of publication.",81 ,64 , 94,"Children estimates were not available at the time of publication.",62 ,48 , 71,"Children estimates were not available at the time of publication.",72 ,56 , 83,"Children estimates were not available at the time of publication.",88 ,69 , >98,"Children estimates were not available at the time of publication.",63 ,49 , 73,"Children estimates were not available at the time of publication.",74 ,58 , 86,"Children estimates were not available at the time of publication.",91 ,72 , >98,"Children estimates were not available at the time of publication.",65 ,51 , 76,"Children estimates were not available at the time of publication.",76 ,60 , 89,"Children estimates were not available at the time of publication.",70 ,55 , 81,"Children estimates were not available at the time of publication.",66 ,53 , 78,"Children estimates were not available at the time of publication.",70 ,56 , 83,"Children estimates were not available at the time of publication.",96 ,77 , >98,"Children estimates were not available at the time of publication.",69 ,55 , 82,"Children estimates were not available at the time of publication.",67 ,53 , 79,"Children estimates were not available at the time of publication.",94 ,74 , >98,"Children estimates were not available at the time of publication.",71 ,55 , 85,"Children estimates were not available at the time of publication.",65 ,50 , 78,"Children estimates were not available at the time of publication.",95 ,74 , >98,"Children estimates were not available at the time of publication."
Republic of Korea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",,,,
Republic of Moldova,40 ,34 , 47,,53 ,44 , 62,,,,,,43 ,37 , 51,,57 ,48 , 67,,,,,,47 ,40 , 56,,61 ,51 , 72,,71 ,60 , 84,,51 ,43 , 60,,65 ,55 , 77,,81 ,68 , 96,,53 ,45 , 62,,71 ,60 , 84,,84 ,70 , >98,,55 ,46 , 65,,70 ,59 , 83,,87 ,73 , >98,,58 ,49 , 69,,72 ,61 , 85,,89 ,75 , >98,,62 ,52 , 73,,74 ,62 , 87,,88 ,74 , >98,,66 ,56 , 78,,75 ,63 , 89,,89 ,75 , >98,,70 ,59 , 83,,75 ,64 , 89,,90 ,75 , >98,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 ,88 , >98,,,,,,,,,,88 ,80 , 97,,,,,,,,,,84 ,75 , 93,,,,,,,,,,90 ,81 , >98,,,,,,,,,,88 ,79 , >98,,,,,,,,,,89 ,79 , >98,,88 ,78 , >98,,94 ,84 , >98,,91 ,81 , >98,,91 ,81 , >98,,98 ,87 , >98,,92 ,81 , >98,
